"","numid1","numid2","node1","node2","relation"
"1",16,20,"aoki","booker","Advice"
"2",16,20,"aoki","booker","Social"
"3",16,12,"aoki","carter","Advice"
"4",16,12,"aoki","carter","Promote"
"5",16,12,"aoki","carter","Social"
"6",16,12,"aoki","carter","Weekly"
"7",16,13,"aoki","dunkin","Social"
"8",16,17,"aoki","dupper","Social"
"9",16,17,"aoki","dupper","Weekly"
"10",16,1,"aoki","hunt","Promote"
"11",16,1,"aoki","hunt","Weekly"
"12",16,9,"aoki","mach","Advice"
"13",16,9,"aoki","mach","Promote"
"14",16,9,"aoki","mach","Social"
"15",16,9,"aoki","mach","Weekly"
"16",16,4,"aoki","osborne","Weekly"
"17",16,19,"aoki","sadler","Social"
"18",20,16,"booker","aoki","Social"
"19",20,16,"booker","aoki","Weekly"
"20",20,12,"booker","carter","Social"
"21",20,12,"booker","carter","Weekly"
"22",20,11,"booker","conway","Weekly"
"23",20,8,"booker","dempsey","Weekly"
"24",20,13,"booker","dunkin","Weekly"
"25",20,9,"booker","mach","Advice"
"26",20,9,"booker","mach","Promote"
"27",20,9,"booker","mach","Social"
"28",20,9,"booker","mach","Weekly"
"29",20,7,"booker","marsh","Weekly"
"30",20,14,"booker","mcgovern","Weekly"
"31",20,2,"booker","miller","Weekly"
"32",20,4,"booker","osborne","Promote"
"33",20,4,"booker","osborne","Weekly"
"34",20,15,"booker","palmer","Weekly"
"35",20,3,"booker","rogers","Social"
"36",20,19,"booker","sadler","Social"
"37",12,16,"carter","aoki","Advice"
"38",12,16,"carter","aoki","Promote"
"39",12,16,"carter","aoki","Social"
"40",12,16,"carter","aoki","Weekly"
"41",12,20,"carter","booker","Advice"
"42",12,20,"carter","booker","Promote"
"43",12,20,"carter","booker","Weekly"
"44",12,12,"carter","carter","Promote"
"45",12,11,"carter","conway","Advice"
"46",12,11,"carter","conway","Weekly"
"47",12,13,"carter","dunkin","Advice"
"48",12,13,"carter","dunkin","Weekly"
"49",12,17,"carter","dupper","Advice"
"50",12,17,"carter","dupper","Weekly"
"51",12,18,"carter","faust","Advice"
"52",12,18,"carter","faust","Social"
"53",12,18,"carter","faust","Weekly"
"54",12,5,"carter","hill","Social"
"55",12,5,"carter","hill","Weekly"
"56",12,1,"carter","hunt","Advice"
"57",12,1,"carter","hunt","Weekly"
"58",12,9,"carter","mach","Advice"
"59",12,9,"carter","mach","Promote"
"60",12,9,"carter","mach","Weekly"
"61",12,7,"carter","marsh","Advice"
"62",12,7,"carter","marsh","Weekly"
"63",12,2,"carter","miller","Weekly"
"64",12,4,"carter","osborne","Advice"
"65",12,4,"carter","osborne","Weekly"
"66",12,15,"carter","palmer","Advice"
"67",12,15,"carter","palmer","Promote"
"68",12,15,"carter","palmer","Social"
"69",12,15,"carter","palmer","Weekly"
"70",12,3,"carter","rogers","Advice"
"71",12,3,"carter","rogers","Promote"
"72",12,3,"carter","rogers","Social"
"73",12,3,"carter","rogers","Weekly"
"74",12,19,"carter","sadler","Advice"
"75",12,19,"carter","sadler","Weekly"
"76",12,10,"carter","stempel","Weekly"
"77",12,6,"carter","young","Advice"
"78",11,12,"conway","carter","Advice"
"79",11,12,"conway","carter","Promote"
"80",11,12,"conway","carter","Weekly"
"81",11,8,"conway","dempsey","Weekly"
"82",11,17,"conway","dupper","Promote"
"83",11,17,"conway","dupper","Social"
"84",11,17,"conway","dupper","Weekly"
"85",11,9,"conway","mach","Advice"
"86",11,9,"conway","mach","Promote"
"87",11,9,"conway","mach","Weekly"
"88",11,7,"conway","marsh","Weekly"
"89",11,14,"conway","mcgovern","Weekly"
"90",11,15,"conway","palmer","Advice"
"91",11,15,"conway","palmer","Weekly"
"92",11,10,"conway","stempel","Weekly"
"93",8,16,"dempsey","aoki","Social"
"94",8,16,"dempsey","aoki","Weekly"
"95",8,20,"dempsey","booker","Advice"
"96",8,20,"dempsey","booker","Social"
"97",8,20,"dempsey","booker","Weekly"
"98",8,12,"dempsey","carter","Advice"
"99",8,12,"dempsey","carter","Social"
"100",8,12,"dempsey","carter","Weekly"
"101",8,11,"dempsey","conway","Social"
"102",8,11,"dempsey","conway","Weekly"
"103",8,13,"dempsey","dunkin","Advice"
"104",8,13,"dempsey","dunkin","Social"
"105",8,13,"dempsey","dunkin","Weekly"
"106",8,17,"dempsey","dupper","Social"
"107",8,18,"dempsey","faust","Social"
"108",8,5,"dempsey","hill","Social"
"109",8,1,"dempsey","hunt","Social"
"110",8,9,"dempsey","mach","Advice"
"111",8,9,"dempsey","mach","Social"
"112",8,9,"dempsey","mach","Weekly"
"113",8,7,"dempsey","marsh","Social"
"114",8,7,"dempsey","marsh","Weekly"
"115",8,14,"dempsey","mcgovern","Advice"
"116",8,14,"dempsey","mcgovern","Social"
"117",8,14,"dempsey","mcgovern","Weekly"
"118",8,2,"dempsey","miller","Social"
"119",8,2,"dempsey","miller","Weekly"
"120",8,4,"dempsey","osborne","Advice"
"121",8,4,"dempsey","osborne","Social"
"122",8,4,"dempsey","osborne","Weekly"
"123",8,15,"dempsey","palmer","Advice"
"124",8,15,"dempsey","palmer","Social"
"125",8,15,"dempsey","palmer","Weekly"
"126",8,3,"dempsey","rogers","Social"
"127",8,19,"dempsey","sadler","Advice"
"128",8,19,"dempsey","sadler","Social"
"129",8,19,"dempsey","sadler","Weekly"
"130",8,10,"dempsey","stempel","Social"
"131",8,6,"dempsey","young","Social"
"132",8,6,"dempsey","young","Weekly"
"133",13,16,"dunkin","aoki","Social"
"134",13,20,"dunkin","booker","Advice"
"135",13,20,"dunkin","booker","Social"
"136",13,20,"dunkin","booker","Weekly"
"137",13,12,"dunkin","carter","Advice"
"138",13,12,"dunkin","carter","Social"
"139",13,8,"dunkin","dempsey","Advice"
"140",13,8,"dunkin","dempsey","Social"
"141",13,17,"dunkin","dupper","Social"
"142",13,18,"dunkin","faust","Social"
"143",13,1,"dunkin","hunt","Social"
"144",13,9,"dunkin","mach","Advice"
"145",13,9,"dunkin","mach","Social"
"146",13,7,"dunkin","marsh","Social"
"147",13,14,"dunkin","mcgovern","Advice"
"148",13,14,"dunkin","mcgovern","Social"
"149",13,2,"dunkin","miller","Social"
"150",13,4,"dunkin","osborne","Advice"
"151",13,4,"dunkin","osborne","Social"
"152",13,15,"dunkin","palmer","Social"
"153",13,3,"dunkin","rogers","Social"
"154",13,19,"dunkin","sadler","Social"
"155",17,16,"dupper","aoki","Advice"
"156",17,16,"dupper","aoki","Social"
"157",17,16,"dupper","aoki","Weekly"
"158",17,20,"dupper","booker","Advice"
"159",17,12,"dupper","carter","Advice"
"160",17,12,"dupper","carter","Weekly"
"161",17,11,"dupper","conway","Advice"
"162",17,11,"dupper","conway","Weekly"
"163",17,8,"dupper","dempsey","Advice"
"164",17,13,"dupper","dunkin","Advice"
"165",17,18,"dupper","faust","Advice"
"166",17,18,"dupper","faust","Weekly"
"167",17,5,"dupper","hill","Advice"
"168",17,1,"dupper","hunt","Advice"
"169",17,1,"dupper","hunt","Social"
"170",17,1,"dupper","hunt","Weekly"
"171",17,9,"dupper","mach","Advice"
"172",17,7,"dupper","marsh","Advice"
"173",17,14,"dupper","mcgovern","Advice"
"174",17,2,"dupper","miller","Advice"
"175",17,4,"dupper","osborne","Advice"
"176",17,15,"dupper","palmer","Advice"
"177",17,15,"dupper","palmer","Weekly"
"178",17,3,"dupper","rogers","Advice"
"179",17,19,"dupper","sadler","Advice"
"180",17,10,"dupper","stempel","Advice"
"181",17,6,"dupper","young","Advice"
"182",18,16,"faust","aoki","Promote"
"183",18,12,"faust","carter","Advice"
"184",18,12,"faust","carter","Promote"
"185",18,12,"faust","carter","Social"
"186",18,12,"faust","carter","Weekly"
"187",18,11,"faust","conway","Social"
"188",18,13,"faust","dunkin","Advice"
"189",18,13,"faust","dunkin","Social"
"190",18,17,"faust","dupper","Social"
"191",18,5,"faust","hill","Social"
"192",18,5,"faust","hill","Weekly"
"193",18,1,"faust","hunt","Social"
"194",18,9,"faust","mach","Advice"
"195",18,9,"faust","mach","Promote"
"196",18,9,"faust","mach","Social"
"197",18,7,"faust","marsh","Social"
"198",18,15,"faust","palmer","Advice"
"199",18,15,"faust","palmer","Promote"
"200",18,15,"faust","palmer","Social"
"201",18,15,"faust","palmer","Weekly"
"202",18,3,"faust","rogers","Advice"
"203",18,3,"faust","rogers","Promote"
"204",18,3,"faust","rogers","Social"
"205",18,3,"faust","rogers","Weekly"
"206",18,10,"faust","stempel","Weekly"
"207",5,12,"hill","carter","Advice"
"208",5,12,"hill","carter","Social"
"209",5,18,"hill","faust","Advice"
"210",5,18,"hill","faust","Social"
"211",5,18,"hill","faust","Weekly"
"212",5,14,"hill","mcgovern","Advice"
"213",5,15,"hill","palmer","Advice"
"214",5,15,"hill","palmer","Social"
"215",5,15,"hill","palmer","Weekly"
"216",5,3,"hill","rogers","Advice"
"217",5,3,"hill","rogers","Social"
"218",5,3,"hill","rogers","Weekly"
"219",5,10,"hill","stempel","Advice"
"220",5,10,"hill","stempel","Social"
"221",5,10,"hill","stempel","Weekly"
"222",1,16,"hunt","aoki","Advice"
"223",1,16,"hunt","aoki","Weekly"
"224",1,12,"hunt","carter","Advice"
"225",1,12,"hunt","carter","Weekly"
"226",1,11,"hunt","conway","Weekly"
"227",1,17,"hunt","dupper","Advice"
"228",1,17,"hunt","dupper","Weekly"
"229",1,18,"hunt","faust","Advice"
"230",1,18,"hunt","faust","Social"
"231",1,18,"hunt","faust","Weekly"
"232",1,5,"hunt","hill","Social"
"233",1,9,"hunt","mach","Advice"
"234",1,7,"hunt","marsh","Advice"
"235",1,14,"hunt","mcgovern","Advice"
"236",1,14,"hunt","mcgovern","Weekly"
"237",1,15,"hunt","palmer","Advice"
"238",1,15,"hunt","palmer","Weekly"
"239",1,3,"hunt","rogers","Advice"
"240",1,3,"hunt","rogers","Weekly"
"241",1,19,"hunt","sadler","Advice"
"242",9,16,"mach","aoki","Advice"
"243",9,16,"mach","aoki","Promote"
"244",9,16,"mach","aoki","Social"
"245",9,16,"mach","aoki","Weekly"
"246",9,20,"mach","booker","Advice"
"247",9,20,"mach","booker","Promote"
"248",9,20,"mach","booker","Social"
"249",9,20,"mach","booker","Weekly"
"250",9,12,"mach","carter","Advice"
"251",9,12,"mach","carter","Promote"
"252",9,12,"mach","carter","Social"
"253",9,12,"mach","carter","Weekly"
"254",9,11,"mach","conway","Advice"
"255",9,11,"mach","conway","Social"
"256",9,11,"mach","conway","Weekly"
"257",9,8,"mach","dempsey","Advice"
"258",9,8,"mach","dempsey","Social"
"259",9,8,"mach","dempsey","Weekly"
"260",9,13,"mach","dunkin","Advice"
"261",9,13,"mach","dunkin","Social"
"262",9,13,"mach","dunkin","Weekly"
"263",9,17,"mach","dupper","Advice"
"264",9,17,"mach","dupper","Social"
"265",9,17,"mach","dupper","Weekly"
"266",9,18,"mach","faust","Advice"
"267",9,18,"mach","faust","Social"
"268",9,18,"mach","faust","Weekly"
"269",9,5,"mach","hill","Social"
"270",9,5,"mach","hill","Weekly"
"271",9,1,"mach","hunt","Advice"
"272",9,1,"mach","hunt","Social"
"273",9,7,"mach","marsh","Advice"
"274",9,7,"mach","marsh","Social"
"275",9,7,"mach","marsh","Weekly"
"276",9,14,"mach","mcgovern","Advice"
"277",9,14,"mach","mcgovern","Social"
"278",9,14,"mach","mcgovern","Weekly"
"279",9,2,"mach","miller","Advice"
"280",9,2,"mach","miller","Social"
"281",9,2,"mach","miller","Weekly"
"282",9,4,"mach","osborne","Advice"
"283",9,4,"mach","osborne","Promote"
"284",9,4,"mach","osborne","Social"
"285",9,4,"mach","osborne","Weekly"
"286",9,15,"mach","palmer","Advice"
"287",9,15,"mach","palmer","Social"
"288",9,15,"mach","palmer","Weekly"
"289",9,3,"mach","rogers","Advice"
"290",9,3,"mach","rogers","Promote"
"291",9,3,"mach","rogers","Social"
"292",9,3,"mach","rogers","Weekly"
"293",9,19,"mach","sadler","Advice"
"294",9,19,"mach","sadler","Promote"
"295",9,19,"mach","sadler","Social"
"296",9,19,"mach","sadler","Weekly"
"297",9,10,"mach","stempel","Advice"
"298",9,10,"mach","stempel","Social"
"299",9,10,"mach","stempel","Weekly"
"300",9,6,"mach","young","Social"
"301",9,6,"mach","young","Weekly"
"302",7,13,"marsh","dunkin","Social"
"303",7,17,"marsh","dupper","Social"
"304",7,18,"marsh","faust","Social"
"305",7,5,"marsh","hill","Social"
"306",7,1,"marsh","hunt","Social"
"307",7,9,"marsh","mach","Advice"
"308",7,9,"marsh","mach","Weekly"
"309",7,2,"marsh","miller","Social"
"310",7,2,"marsh","miller","Weekly"
"311",7,19,"marsh","sadler","Advice"
"312",7,19,"marsh","sadler","Promote"
"313",7,19,"marsh","sadler","Social"
"314",7,19,"marsh","sadler","Weekly"
"315",7,10,"marsh","stempel","Social"
"316",7,6,"marsh","young","Weekly"
"317",14,16,"mcgovern","aoki","Weekly"
"318",14,20,"mcgovern","booker","Advice"
"319",14,20,"mcgovern","booker","Weekly"
"320",14,11,"mcgovern","conway","Weekly"
"321",14,8,"mcgovern","dempsey","Advice"
"322",14,8,"mcgovern","dempsey","Weekly"
"323",14,13,"mcgovern","dunkin","Weekly"
"324",14,17,"mcgovern","dupper","Weekly"
