"","numid1","numid2","node1","node2","relation"
"1",16,20,"aoki","booker","Advice"
"2",16,12,"aoki","carter","Advice"
"3",16,9,"aoki","mach","Advice"
"4",20,9,"booker","mach","Advice"
"5",12,16,"carter","aoki","Advice"
"6",12,20,"carter","booker","Advice"
"7",12,11,"carter","conway","Advice"
"8",12,13,"carter","dunkin","Advice"
"9",12,17,"carter","dupper","Advice"
"10",12,18,"carter","faust","Advice"
"11",12,1,"carter","hunt","Advice"
"12",12,9,"carter","mach","Advice"
"13",12,7,"carter","marsh","Advice"
"14",12,4,"carter","osborne","Advice"
"15",12,15,"carter","palmer","Advice"
"16",12,3,"carter","rogers","Advice"
"17",12,19,"carter","sadler","Advice"
"18",12,6,"carter","young","Advice"
"19",11,12,"conway","carter","Advice"
"20",11,9,"conway","mach","Advice"
"21",11,15,"conway","palmer","Advice"
"22",8,20,"dempsey","booker","Advice"
"23",8,12,"dempsey","carter","Advice"
"24",8,13,"dempsey","dunkin","Advice"
"25",8,9,"dempsey","mach","Advice"
"26",8,14,"dempsey","mcgovern","Advice"
"27",8,4,"dempsey","osborne","Advice"
"28",8,15,"dempsey","palmer","Advice"
"29",8,19,"dempsey","sadler","Advice"
"30",13,20,"dunkin","booker","Advice"
"31",13,12,"dunkin","carter","Advice"
"32",13,8,"dunkin","dempsey","Advice"
"33",13,9,"dunkin","mach","Advice"
"34",13,14,"dunkin","mcgovern","Advice"
"35",13,4,"dunkin","osborne","Advice"
"36",17,16,"dupper","aoki","Advice"
"37",17,20,"dupper","booker","Advice"
"38",17,12,"dupper","carter","Advice"
"39",17,11,"dupper","conway","Advice"
"40",17,8,"dupper","dempsey","Advice"
"41",17,13,"dupper","dunkin","Advice"
"42",17,18,"dupper","faust","Advice"
"43",17,5,"dupper","hill","Advice"
"44",17,1,"dupper","hunt","Advice"
"45",17,9,"dupper","mach","Advice"
"46",17,7,"dupper","marsh","Advice"
"47",17,14,"dupper","mcgovern","Advice"
"48",17,2,"dupper","miller","Advice"
"49",17,4,"dupper","osborne","Advice"
"50",17,15,"dupper","palmer","Advice"
"51",17,3,"dupper","rogers","Advice"
"52",17,19,"dupper","sadler","Advice"
"53",17,10,"dupper","stempel","Advice"
"54",17,6,"dupper","young","Advice"
"55",18,12,"faust","carter","Advice"
"56",18,13,"faust","dunkin","Advice"
"57",18,9,"faust","mach","Advice"
"58",18,15,"faust","palmer","Advice"
"59",18,3,"faust","rogers","Advice"
"60",5,12,"hill","carter","Advice"
"61",5,18,"hill","faust","Advice"
"62",5,14,"hill","mcgovern","Advice"
"63",5,15,"hill","palmer","Advice"
"64",5,3,"hill","rogers","Advice"
"65",5,10,"hill","stempel","Advice"
"66",1,16,"hunt","aoki","Advice"
"67",1,12,"hunt","carter","Advice"
"68",1,17,"hunt","dupper","Advice"
"69",1,18,"hunt","faust","Advice"
"70",1,9,"hunt","mach","Advice"
"71",1,7,"hunt","marsh","Advice"
"72",1,14,"hunt","mcgovern","Advice"
"73",1,15,"hunt","palmer","Advice"
"74",1,3,"hunt","rogers","Advice"
"75",1,19,"hunt","sadler","Advice"
"76",9,16,"mach","aoki","Advice"
"77",9,20,"mach","booker","Advice"
"78",9,12,"mach","carter","Advice"
"79",9,11,"mach","conway","Advice"
"80",9,8,"mach","dempsey","Advice"
"81",9,13,"mach","dunkin","Advice"
"82",9,17,"mach","dupper","Advice"
"83",9,18,"mach","faust","Advice"
"84",9,1,"mach","hunt","Advice"
"85",9,7,"mach","marsh","Advice"
"86",9,14,"mach","mcgovern","Advice"
"87",9,2,"mach","miller","Advice"
"88",9,4,"mach","osborne","Advice"
"89",9,15,"mach","palmer","Advice"
"90",9,3,"mach","rogers","Advice"
"91",9,19,"mach","sadler","Advice"
"92",9,10,"mach","stempel","Advice"
"93",7,9,"marsh","mach","Advice"
"94",7,19,"marsh","sadler","Advice"
"95",14,20,"mcgovern","booker","Advice"
"96",14,8,"mcgovern","dempsey","Advice"
"97",14,4,"mcgovern","osborne","Advice"
"98",2,20,"miller","booker","Advice"
"99",2,13,"miller","dunkin","Advice"
"100",2,9,"miller","mach","Advice"
"101",2,4,"miller","osborne","Advice"
"102",4,16,"osborne","aoki","Advice"
"103",4,20,"osborne","booker","Advice"
"104",4,8,"osborne","dempsey","Advice"
"105",4,13,"osborne","dunkin","Advice"
"106",4,18,"osborne","faust","Advice"
"107",4,9,"osborne","mach","Advice"
"108",4,14,"osborne","mcgovern","Advice"
"109",4,2,"osborne","miller","Advice"
"110",4,15,"osborne","palmer","Advice"
"111",4,3,"osborne","rogers","Advice"
"112",4,19,"osborne","sadler","Advice"
"113",4,6,"osborne","young","Advice"
"114",15,20,"palmer","booker","Advice"
"115",15,12,"palmer","carter","Advice"
"116",15,13,"palmer","dunkin","Advice"
"117",15,17,"palmer","dupper","Advice"
"118",15,9,"palmer","mach","Advice"
"119",15,4,"palmer","osborne","Advice"
"120",15,3,"palmer","rogers","Advice"
"121",19,20,"sadler","booker","Advice"
"122",19,12,"sadler","carter","Advice"
"123",19,9,"sadler","mach","Advice"
"124",19,7,"sadler","marsh","Advice"
"125",19,2,"sadler","miller","Advice"
"126",19,4,"sadler","osborne","Advice"
"127",19,3,"sadler","rogers","Advice"
"128",19,6,"sadler","young","Advice"
"129",10,18,"stempel","faust","Advice"
"130",10,3,"stempel","rogers","Advice"
"131",6,7,"young","marsh","Advice"
"132",6,19,"young","sadler","Advice"
