"","numid1","numid2","node1","node2","relation"
"1",16,12,"aoki","carter","Promote"
"2",16,1,"aoki","hunt","Promote"
"3",16,9,"aoki","mach","Promote"
"4",20,9,"booker","mach","Promote"
"5",20,4,"booker","osborne","Promote"
"6",12,16,"carter","aoki","Promote"
"7",12,20,"carter","booker","Promote"
"8",12,12,"carter","carter","Promote"
"9",12,9,"carter","mach","Promote"
"10",12,15,"carter","palmer","Promote"
"11",12,3,"carter","rogers","Promote"
"12",11,12,"conway","carter","Promote"
"13",11,17,"conway","dupper","Promote"
"14",11,9,"conway","mach","Promote"
"15",18,16,"faust","aoki","Promote"
"16",18,12,"faust","carter","Promote"
"17",18,9,"faust","mach","Promote"
"18",18,15,"faust","palmer","Promote"
"19",18,3,"faust","rogers","Promote"
"20",9,16,"mach","aoki","Promote"
"21",9,20,"mach","booker","Promote"
"22",9,12,"mach","carter","Promote"
"23",9,4,"mach","osborne","Promote"
"24",9,3,"mach","rogers","Promote"
"25",9,19,"mach","sadler","Promote"
"26",7,19,"marsh","sadler","Promote"
"27",4,16,"osborne","aoki","Promote"
"28",4,20,"osborne","booker","Promote"
"29",4,12,"osborne","carter","Promote"
"30",4,8,"osborne","dempsey","Promote"
"31",4,13,"osborne","dunkin","Promote"
"32",4,18,"osborne","faust","Promote"
"33",4,1,"osborne","hunt","Promote"
"34",4,9,"osborne","mach","Promote"
"35",4,7,"osborne","marsh","Promote"
"36",4,14,"osborne","mcgovern","Promote"
"37",4,2,"osborne","miller","Promote"
"38",4,15,"osborne","palmer","Promote"
"39",4,3,"osborne","rogers","Promote"
"40",15,16,"palmer","aoki","Promote"
"41",15,20,"palmer","booker","Promote"
"42",15,12,"palmer","carter","Promote"
"43",15,9,"palmer","mach","Promote"
"44",15,3,"palmer","rogers","Promote"
"45",3,16,"rogers","aoki","Promote"
"46",3,12,"rogers","carter","Promote"
"47",3,18,"rogers","faust","Promote"
"48",3,9,"rogers","mach","Promote"
"49",3,4,"rogers","osborne","Promote"
"50",3,15,"rogers","palmer","Promote"
"51",19,20,"sadler","booker","Promote"
"52",19,12,"sadler","carter","Promote"
"53",19,9,"sadler","mach","Promote"
"54",19,7,"sadler","marsh","Promote"
"55",6,9,"young","mach","Promote"
"56",6,7,"young","marsh","Promote"
"57",6,19,"young","sadler","Promote"
