"","numid1","numid2","node1","node2","relation"
"1",16,20,"aoki","booker","Social"
"2",16,12,"aoki","carter","Social"
"3",16,13,"aoki","dunkin","Social"
"4",16,17,"aoki","dupper","Social"
"5",16,9,"aoki","mach","Social"
"6",16,19,"aoki","sadler","Social"
"7",20,16,"booker","aoki","Social"
"8",20,12,"booker","carter","Social"
"9",20,9,"booker","mach","Social"
"10",20,3,"booker","rogers","Social"
"11",20,19,"booker","sadler","Social"
"12",12,16,"carter","aoki","Social"
"13",12,18,"carter","faust","Social"
"14",12,5,"carter","hill","Social"
"15",12,15,"carter","palmer","Social"
"16",12,3,"carter","rogers","Social"
"17",11,17,"conway","dupper","Social"
"18",8,16,"dempsey","aoki","Social"
"19",8,20,"dempsey","booker","Social"
"20",8,12,"dempsey","carter","Social"
"21",8,11,"dempsey","conway","Social"
"22",8,13,"dempsey","dunkin","Social"
"23",8,17,"dempsey","dupper","Social"
"24",8,18,"dempsey","faust","Social"
"25",8,5,"dempsey","hill","Social"
"26",8,1,"dempsey","hunt","Social"
"27",8,9,"dempsey","mach","Social"
"28",8,7,"dempsey","marsh","Social"
"29",8,14,"dempsey","mcgovern","Social"
"30",8,2,"dempsey","miller","Social"
"31",8,4,"dempsey","osborne","Social"
"32",8,15,"dempsey","palmer","Social"
"33",8,3,"dempsey","rogers","Social"
"34",8,19,"dempsey","sadler","Social"
"35",8,10,"dempsey","stempel","Social"
"36",8,6,"dempsey","young","Social"
"37",13,16,"dunkin","aoki","Social"
"38",13,20,"dunkin","booker","Social"
"39",13,12,"dunkin","carter","Social"
"40",13,8,"dunkin","dempsey","Social"
"41",13,17,"dunkin","dupper","Social"
"42",13,18,"dunkin","faust","Social"
"43",13,1,"dunkin","hunt","Social"
"44",13,9,"dunkin","mach","Social"
"45",13,7,"dunkin","marsh","Social"
"46",13,14,"dunkin","mcgovern","Social"
"47",13,2,"dunkin","miller","Social"
"48",13,4,"dunkin","osborne","Social"
"49",13,15,"dunkin","palmer","Social"
"50",13,3,"dunkin","rogers","Social"
"51",13,19,"dunkin","sadler","Social"
"52",17,16,"dupper","aoki","Social"
"53",17,1,"dupper","hunt","Social"
"54",18,12,"faust","carter","Social"
"55",18,11,"faust","conway","Social"
"56",18,13,"faust","dunkin","Social"
"57",18,17,"faust","dupper","Social"
"58",18,5,"faust","hill","Social"
"59",18,1,"faust","hunt","Social"
"60",18,9,"faust","mach","Social"
"61",18,7,"faust","marsh","Social"
"62",18,15,"faust","palmer","Social"
"63",18,3,"faust","rogers","Social"
"64",5,12,"hill","carter","Social"
"65",5,18,"hill","faust","Social"
"66",5,15,"hill","palmer","Social"
"67",5,3,"hill","rogers","Social"
"68",5,10,"hill","stempel","Social"
"69",1,18,"hunt","faust","Social"
"70",1,5,"hunt","hill","Social"
"71",9,16,"mach","aoki","Social"
"72",9,20,"mach","booker","Social"
"73",9,12,"mach","carter","Social"
"74",9,11,"mach","conway","Social"
"75",9,8,"mach","dempsey","Social"
"76",9,13,"mach","dunkin","Social"
"77",9,17,"mach","dupper","Social"
"78",9,18,"mach","faust","Social"
"79",9,5,"mach","hill","Social"
"80",9,1,"mach","hunt","Social"
"81",9,7,"mach","marsh","Social"
"82",9,14,"mach","mcgovern","Social"
"83",9,2,"mach","miller","Social"
"84",9,4,"mach","osborne","Social"
"85",9,15,"mach","palmer","Social"
"86",9,3,"mach","rogers","Social"
"87",9,19,"mach","sadler","Social"
"88",9,10,"mach","stempel","Social"
"89",9,6,"mach","young","Social"
"90",7,13,"marsh","dunkin","Social"
"91",7,17,"marsh","dupper","Social"
"92",7,18,"marsh","faust","Social"
"93",7,5,"marsh","hill","Social"
"94",7,1,"marsh","hunt","Social"
"95",7,2,"marsh","miller","Social"
"96",7,19,"marsh","sadler","Social"
"97",7,10,"marsh","stempel","Social"
"98",2,13,"miller","dunkin","Social"
"99",2,7,"miller","marsh","Social"
"100",4,16,"osborne","aoki","Social"
"101",4,12,"osborne","carter","Social"
"102",4,8,"osborne","dempsey","Social"
"103",4,13,"osborne","dunkin","Social"
"104",4,17,"osborne","dupper","Social"
"105",4,18,"osborne","faust","Social"
"106",4,1,"osborne","hunt","Social"
"107",4,9,"osborne","mach","Social"
"108",4,7,"osborne","marsh","Social"
"109",4,14,"osborne","mcgovern","Social"
"110",4,15,"osborne","palmer","Social"
"111",4,3,"osborne","rogers","Social"
"112",15,16,"palmer","aoki","Social"
"113",15,12,"palmer","carter","Social"
"114",15,18,"palmer","faust","Social"
"115",15,5,"palmer","hill","Social"
"116",15,3,"palmer","rogers","Social"
"117",19,16,"sadler","aoki","Social"
"118",19,20,"sadler","booker","Social"
"119",19,12,"sadler","carter","Social"
"120",19,13,"sadler","dunkin","Social"
"121",19,17,"sadler","dupper","Social"
"122",19,18,"sadler","faust","Social"
"123",19,9,"sadler","mach","Social"
"124",19,7,"sadler","marsh","Social"
"125",19,2,"sadler","miller","Social"
"126",19,4,"sadler","osborne","Social"
"127",19,15,"sadler","palmer","Social"
"128",19,3,"sadler","rogers","Social"
"129",10,11,"stempel","conway","Social"
"130",10,18,"stempel","faust","Social"
"131",10,5,"stempel","hill","Social"
"132",10,1,"stempel","hunt","Social"
"133",10,9,"stempel","mach","Social"
"134",10,7,"stempel","marsh","Social"
"135",10,2,"stempel","miller","Social"
"136",10,15,"stempel","palmer","Social"
"137",10,3,"stempel","rogers","Social"
"138",10,6,"stempel","young","Social"
"139",6,7,"young","marsh","Social"
"140",6,19,"young","sadler","Social"
