"","numid1","numid2","relation","node1","node2","value","sample","time"
"1",1,1,"InfoWork","D17_Supv.1","D17_Supv.1",4,1,1
"2",1,1,"InputDecision","D17_Supv.1","D17_Supv.1",4,1,1
"3",1,1,"Recognition","D17_Supv.1","D17_Supv.1",4,1,1
"4",1,2,"Collaboration","D17_Supv.1","D19_Dir.1",2,1,2
"5",1,2,"Confidential","D17_Supv.1","D19_Dir.1",1,1,3
"6",1,2,"InfoWork","D17_Supv.1","D19_Dir.1",1,1,3
"7",1,2,"Innovation","D17_Supv.1","D19_Dir.1",2,1,2
"8",1,3,"Collaboration","D17_Supv.1","D1_Prin.1",1,1,2
"9",1,3,"InfoWork","D17_Supv.1","D1_Prin.1",1,1,2
"10",1,3,"InfoWork","D17_Supv.1","D1_Prin.1",1,1,3
"11",1,4,"Collaboration","D17_Supv.1","D23_Dir.1",4,1,1
"12",1,4,"Collaboration","D17_Supv.1","D23_Dir.1",4,1,2
"13",1,4,"Collaboration","D17_Supv.1","D23_Dir.1",4,1,3
"14",1,4,"Confidential","D17_Supv.1","D23_Dir.1",2,1,1
"15",1,4,"Confidential","D17_Supv.1","D23_Dir.1",3,1,2
"16",1,4,"Confidential","D17_Supv.1","D23_Dir.1",4,1,3
"17",1,4,"Energy","D17_Supv.1","D23_Dir.1",3,1,1
"18",1,4,"Energy","D17_Supv.1","D23_Dir.1",3,1,3
"19",1,4,"InfoWork","D17_Supv.1","D23_Dir.1",4,1,1
"20",1,4,"InfoWork","D17_Supv.1","D23_Dir.1",4,1,2
"21",1,4,"InfoWork","D17_Supv.1","D23_Dir.1",4,1,3
"22",1,4,"InputDecision","D17_Supv.1","D23_Dir.1",2,1,1
"23",1,4,"InputDecision","D17_Supv.1","D23_Dir.1",3,1,2
"24",1,4,"InputDecision","D17_Supv.1","D23_Dir.1",2,1,3
"25",1,4,"Recognition","D17_Supv.1","D23_Dir.1",2,1,3
"26",1,4,"Innovation","D17_Supv.1","D23_Dir.1",3,1,2
"27",1,4,"Innovation","D17_Supv.1","D23_Dir.1",3,1,3
"28",1,5,"Collaboration","D17_Supv.1","D25_Coor.1",1,1,2
"29",1,6,"Collaboration","D17_Supv.1","D28_Coor.1",1,1,2
"30",1,7,"Collaboration","D17_Supv.1","D2_Supv.1",3,1,2
"31",1,7,"Collaboration","D17_Supv.1","D2_Supv.1",1,1,3
"32",1,7,"Confidential","D17_Supv.1","D2_Supv.1",1,1,2
"33",1,7,"Confidential","D17_Supv.1","D2_Supv.1",1,1,3
"34",1,7,"InfoWork","D17_Supv.1","D2_Supv.1",2,1,1
"35",1,7,"InfoWork","D17_Supv.1","D2_Supv.1",2,1,2
"36",1,7,"InfoWork","D17_Supv.1","D2_Supv.1",1,1,3
"37",1,7,"Recognition","D17_Supv.1","D2_Supv.1",1,1,2
"38",1,8,"Confidential","D17_Supv.1","D30_Supe.1",1,1,3
"39",1,8,"InfoWork","D17_Supv.1","D30_Supe.1",1,1,3
"40",1,9,"Collaboration","D17_Supv.1","D31_Supv.1",3,1,1
"41",1,9,"Collaboration","D17_Supv.1","D31_Supv.1",3,1,2
"42",1,9,"InfoWork","D17_Supv.1","D31_Supv.1",3,1,1
"43",1,9,"InfoWork","D17_Supv.1","D31_Supv.1",1,1,3
"44",1,9,"InputDecision","D17_Supv.1","D31_Supv.1",2,1,1
"45",1,10,"Collaboration","D17_Supv.1","D3_Dir.1",1,1,2
"46",1,8,"Collaboration","D17_Supv.1","D3_Dir.1",1,1,3
"47",1,8,"Confidential","D17_Supv.1","D3_Dir.1",1,1,3
"48",1,8,"Energy","D17_Supv.1","D3_Dir.1",1,1,3
"49",1,8,"InfoWork","D17_Supv.1","D3_Dir.1",1,1,3
"50",1,8,"Recognition","D17_Supv.1","D3_Dir.1",1,1,3
"51",1,8,"Innovation","D17_Supv.1","D3_Dir.1",2,1,3
"52",1,12,"Collaboration","D17_Supv.1","D43_Dir.1",1,1,2
"53",1,12,"Confidential","D17_Supv.1","D43_Dir.1",1,1,3
"54",1,12,"InfoWork","D17_Supv.1","D43_Dir.1",1,1,3
"55",1,13,"Collaboration","D17_Supv.1","D46_Dir.1",1,1,2
"56",1,13,"InfoWork","D17_Supv.1","D46_Dir.1",1,1,3
"57",1,14,"Collaboration","D17_Supv.1","D47_Dir.1",4,1,2
"58",1,14,"Energy","D17_Supv.1","D47_Dir.1",1,1,3
"59",1,14,"InfoWork","D17_Supv.1","D47_Dir.1",3,1,1
"60",1,14,"InfoWork","D17_Supv.1","D47_Dir.1",1,1,2
"61",1,14,"InputDecision","D17_Supv.1","D47_Dir.1",2,1,2
"62",1,14,"Recognition","D17_Supv.1","D47_Dir.1",1,1,2
"63",1,15,"Collaboration","D17_Supv.1","D49_Supe.1",1,1,2
"64",1,16,"Collaboration","D17_Supv.1","D4_Supv.1",3,1,2
"65",1,16,"Collaboration","D17_Supv.1","D4_Supv.1",2,1,3
"66",1,16,"Confidential","D17_Supv.1","D4_Supv.1",2,1,2
"67",1,16,"Confidential","D17_Supv.1","D4_Supv.1",1,1,3
"68",1,16,"InfoWork","D17_Supv.1","D4_Supv.1",3,1,1
"69",1,16,"InfoWork","D17_Supv.1","D4_Supv.1",2,1,2
"70",1,16,"InfoWork","D17_Supv.1","D4_Supv.1",2,1,3
"71",1,16,"InputDecision","D17_Supv.1","D4_Supv.1",1,1,1
"72",1,16,"InputDecision","D17_Supv.1","D4_Supv.1",2,1,2
"73",1,18,"Collaboration","D17_Supv.1","S12_Prin.1",1,1,2
"74",1,19,"Collaboration","D17_Supv.1","S13_AstP.1",1,1,2
"75",1,23,"Collaboration","D17_Supv.1","S18_AstP.1",1,1,2
"76",1,24,"Collaboration","D17_Supv.1","S20_Prin.1",1,1,2
"77",1,26,"Collaboration","D17_Supv.1","S22_Prin.1",1,1,2
"78",1,30,"Collaboration","D17_Supv.1","S36_Prin.1",2,1,2
"79",1,31,"Collaboration","D17_Supv.1","S38_AstP.1",1,1,2
"80",1,34,"Collaboration","D17_Supv.1","S50_AstP.1",2,1,2
"81",1,36,"Collaboration","D17_Supv.1","S53_AstP.1",3,1,2
"82",1,36,"InfoWork","D17_Supv.1","S53_AstP.1",4,1,1
"83",1,36,"InputDecision","D17_Supv.1","S53_AstP.1",3,1,1
"84",1,36,"InputDecision","D17_Supv.1","S53_AstP.1",1,1,2
"85",1,37,"Collaboration","D17_Supv.1","S54_AstP.1",1,1,2
"86",1,37,"InfoWork","D17_Supv.1","S54_AstP.1",1,1,1
"87",1,39,"Collaboration","D17_Supv.1","S5_Prin.1",1,1,2
"88",1,40,"Collaboration","D17_Supv.1","S6_AstPr.1",1,1,2
"89",1,42,"Confidential","D17_Supv.1","S8_Prin.1",1,1,3
"90",1,28,"InfoWork","D17_Supv.1","S8_Prin.1",1,1,3
"91",2,1,"Collaboration","D19_Dir.1","D17_Supv.1",1,1,2
"92",2,1,"Collaboration","D19_Dir.1","D17_Supv.1",2,1,3
"93",2,1,"Energy","D19_Dir.1","D17_Supv.1",2,1,3
"94",2,1,"InfoWork","D19_Dir.1","D17_Supv.1",1,1,1
"95",2,1,"InputDecision","D19_Dir.1","D17_Supv.1",1,1,2
"96",2,1,"Innovation","D19_Dir.1","D17_Supv.1",2,1,1
"97",2,2,"Collaboration","D19_Dir.1","D19_Dir.1",4,1,2
"98",2,2,"Innovation","D19_Dir.1","D19_Dir.1",3,1,1
"99",2,3,"Collaboration","D19_Dir.1","D1_Prin.1",4,1,2
"100",2,3,"Collaboration","D19_Dir.1","D1_Prin.1",4,1,3
"101",2,3,"Confidential","D19_Dir.1","D1_Prin.1",2,1,2
"102",2,3,"Confidential","D19_Dir.1","D1_Prin.1",2,1,3
"103",2,3,"Energy","D19_Dir.1","D1_Prin.1",4,1,2
"104",2,3,"Energy","D19_Dir.1","D1_Prin.1",4,1,3
"105",2,3,"InfoWork","D19_Dir.1","D1_Prin.1",4,1,1
"106",2,3,"InfoWork","D19_Dir.1","D1_Prin.1",4,1,2
"107",2,3,"InfoWork","D19_Dir.1","D1_Prin.1",4,1,3
"108",2,3,"InputDecision","D19_Dir.1","D1_Prin.1",4,1,1
"109",2,3,"InputDecision","D19_Dir.1","D1_Prin.1",4,1,2
"110",2,3,"InputDecision","D19_Dir.1","D1_Prin.1",4,1,3
"111",2,3,"Recognition","D19_Dir.1","D1_Prin.1",3,1,1
"112",2,3,"Recognition","D19_Dir.1","D1_Prin.1",2,1,2
"113",2,3,"Recognition","D19_Dir.1","D1_Prin.1",4,1,3
"114",2,3,"Innovation","D19_Dir.1","D1_Prin.1",3,1,1
"115",2,3,"Innovation","D19_Dir.1","D1_Prin.1",4,1,2
"116",2,3,"Innovation","D19_Dir.1","D1_Prin.1",4,1,3
"117",2,4,"Collaboration","D19_Dir.1","D23_Dir.1",4,1,2
"118",2,4,"Collaboration","D19_Dir.1","D23_Dir.1",4,1,3
"119",2,4,"Confidential","D19_Dir.1","D23_Dir.1",2,1,2
"120",2,4,"Confidential","D19_Dir.1","D23_Dir.1",1,1,3
"121",2,4,"Energy","D19_Dir.1","D23_Dir.1",3,1,2
"122",2,4,"InfoWork","D19_Dir.1","D23_Dir.1",3,1,1
