"","numid","id","Coach","Gender","Ethnicity","Age","Job_title","District_Site","Highest_degree","Years_educator","Years_administrator","Years_district","Years_position","Years_site","Efficacy","InstructEff","ManagEff","MoralEff","TRUST","Innovation1","Perception_of_Innovation1","Innovation_2","Perception_of_Innovation2","Innovation_3","Perception_of_Innovation3","sample","Marital_status","work_location"
"1",1,"D11_Supv.2",NA,1,3,5,0,2,2,NA,3,2,2,2,7.44444444444444,8,7.5,6.83333333333333,6,3,4,5,1,0,0,2,5,0
"2",2,"D15_Superin.2",NA,2,4,4,1,1,4,5,5,1,1,1,7.55555555555556,8,6.83333333333333,7.83333333333333,5.875,0,0,0,1,14,2,2,3,1
"3",3,"D16_Dir.2",NA,2,4,2,8,1,1,NA,2,1,1,1,7.5625,8.25,7.33333333333333,7.33333333333333,5.75,1,5,2,0,8,3,2,4,1
"4",4,"D1_Superin.2",NA,1,4,2,11,2,2,2,1,2,1,1,8.22222222222222,6.83333333333333,5.33333333333333,6.16666666666667,5.25,2,6,13,8,13,10,2,4,14
"5",5,"D22_Supv.2",NA,1,4,5,9,NA,NA,NA,NA,5,1,2,4.94117647058824,2.83333333333333,7.2,5.16666666666667,6,3,0,2,2,2,1,2,0,0
"6",6,"D25_Supv.2",NA,1,3,2,9,2,1,3,1,1,1,1,7.55555555555556,7.83333333333333,6.16666666666667,7.83333333333333,5.875,3,0,4,0,1,2,2,4,3
"7",7,"D28_Supv.2",NA,1,4,5,7,1,1,2,3,2,2,2,6.16666666666667,6,6,6.5,5.875,1,4,1,6,1,0,2,3,1
"8",8,"D3_Dir.2",NA,1,4,NA,4,1,2,5,4,2,2,2,3,3.83333333333333,3.16666666666667,2,4,1,0,0,0,1,1,2,1,1
"9",9,"D4_Superin.2",NA,1,4,5,2,1,4,6,4,1,1,1,8.44444444444444,8.16666666666667,8.16666666666667,9,5.125,1,4,1,4,4,4,2,1,1
"10",10,"D6_Supv.2",NA,1,2,4,9,1,1,NA,1,1,1,1,4.41176470588235,5.6,3.66666666666667,4.16666666666667,6.375,0,0,4,0,0,0,2,2,1
"11",11,"D7_Superin.2",NA,2,4,5,2,1,3,5,4,5,1,1,7.66666666666667,7.33333333333333,7.83333333333333,7.83333333333333,6.375,1,5,1,2,2,2,2,4,1
"12",12,"D9_Asst.2",NA,2,3,3,13,1,1,4,NA,1,1,1,NA,NA,NA,NA,5.875,3,0,4,4,0,2,2,1,1
"13",13,"S13_AstPrin.2",NA,2,1,4,12,2,2,4,3,1,1,1,7.11764705882353,6,7.8,7.66666666666667,7,1,0,1,0,0,0,2,3,12
"14",14,"S14_Prin.2",NA,2,4,4,11,2,2,3,2,1,1,1,6.55555555555556,6.5,5.83333333333333,7.33333333333333,6.25,0,4,0,4,3,7,2,4,9
"15",15,"S17_Prin.2",NA,1,4,4,11,2,3,4,2,4,1,1,6.27777777777778,6.83333333333333,5,7,5.125,17,0,17,8,2,11,2,1,8
"16",16,"S18_Prin.2",NA,1,4,5,11,2,3,5,3,2,1,2,7.11111111111111,6.16666666666667,8.33333333333333,6.83333333333333,5.5,6,1,8,1,4,2,2,5,12
"17",17,"S1_Prin.2",NA,2,4,6,11,2,3,NA,5,1,1,1,7.94444444444444,7.83333333333333,8,8,6.75,1,1,0,3,3,5,2,1,11
"18",18,"S23_AstPrin.2",NA,2,4,2,11,2,4,2,2,2,1,2,6.44444444444444,6.16666666666667,5.83333333333333,7.33333333333333,5.875,3,0,1,1,4,2,2,3,10
"19",19,"S24_Prin.2",NA,1,4,4,11,2,2,3,2,1,1,1,7.27777777777778,8,7,7.66666666666667,6.625,0,14,0,10,5,4,2,2,5
"20",20,"S2_Prin.2",NA,1,4,4,11,2,3,5,3,2,2,2,7.83333333333333,8,7.66666666666667,7.83333333333333,6.375,1,3,2,3,3,14,2,4,4
"21",21,"S34_Prin.2",NA,1,4,5,11,2,3,5,3,5,1,1,8.38888888888889,9,9,7.16666666666667,1.75,1,0,0,0,3,0,2,2,13
"22",22,"S35_Prin.2",NA,2,4,3,11,2,3,3,NA,1,1,1,7.22222222222222,7.33333333333333,7,7.33333333333333,5.125,6,2,7,1,8,0,2,1,3
"23",23,"S36_Prin.2",NA,2,3,4,11,1,2,4,2,1,1,1,6.52941176470588,5.5,7.16666666666667,7,6.25,1,0,1,3,0,3,2,4,1
"24",24,"S37_AstPrin.2",NA,1,1,2,11,2,4,3,2,2,1,1,6.38888888888889,6.5,5,7.66666666666667,6.125,0,1,4,5,8,0,2,3,2
"25",25,"S38_Prin.2",NA,1,4,5,3,2,3,6,4,NA,1,1,7.38888888888889,6.5,9,6.66666666666667,4.125,3,1,4,8,0,3,2,5,13
"26",26,"S3_AstPrin.2",NA,1,1,2,12,NA,3,3,1,1,1,1,7.58823529411765,8,7,7.8,4.125,3,1,3,1,0,0,2,4,2
"27",27,"S5_Prin.2",NA,1,4,5,12,2,3,6,5,3,1,1,7.22222222222222,7.33333333333333,6.66666666666667,7.66666666666667,5,7,9,5,6,1,3,2,3,12
"28",28,"S8_Prin.2",NA,2,0,5,11,2,3,3,2,1,1,1,7.94444444444444,8.33333333333333,7.66666666666667,7.83333333333333,6.875,3,7,1,9,6,15,2,0,7
