"","RespondentForestID","MergeParticipantID","Target_ForestID","Target_MergeParticpantID","d1","d2","d1_strong","d2_strong","d1_weak","d2_weak","numid2","numid1"
"1",24,"1-6388",24,"1-5555",3,3,0,0,1,1,1,2
"2",24,"1-6388",24,"1-6388",0,0,0,0,0,0,2,2
"3",24,"1-6388",24,"163-5102",4,1,1,0,1,0,5,2
"4",24,"1-6388",24,"163-5890",0,0,0,0,0,0,6,2
"5",24,"1-6388",24,"163-5892",4,1,1,0,1,0,7,2
"6",24,"1-6388",24,"163-5893",2,1,0,0,0,0,8,2
"7",24,"1-6388",24,"163-5894",3,2,0,0,1,1,9,2
"8",24,"1-6388",24,"163-5896",3,2,0,0,1,1,10,2
"9",24,"1-6388",24,"163-5897",4,2,1,0,1,1,11,2
"10",24,"1-6388",24,"163-5898",2,3,0,0,0,1,12,2
"11",24,"1-6388",24,"26-5103",4,3,1,0,1,1,3,2
"12",24,"1-6388",24,"26-6394",4,3,1,0,1,1,4,2
"13",6,"10-5031",6,"10-5031",0,0,0,0,0,0,5,5
"14",6,"10-5031",6,"10-5032",3,3,0,0,1,1,6,5
"15",6,"10-5031",6,"11-5032",0,0,0,0,0,0,7,5
"16",6,"10-5031",6,"11-6068",4,4,1,1,1,1,8,5
"17",6,"10-5031",6,"130-5030",0,0,0,0,0,0,9,5
"18",6,"10-5031",6,"130-5033",2,3,0,0,0,1,10,5
"19",6,"10-5031",6,"131-5030",4,4,1,1,1,1,11,5
"20",6,"10-5031",6,"131-5033",0,0,0,0,0,0,12,5
"21",6,"10-5031",6,"132-5033",0,0,0,0,0,0,13,5
"22",6,"10-5031",6,"132-6209",4,4,1,1,1,1,14,5
"23",6,"10-5031",6,"161-5870",2,3,0,0,0,1,15,5
"24",6,"10-5031",6,"161-5871",3,4,0,1,1,1,16,5
"25",6,"10-5031",6,"161-5872",4,4,1,1,1,1,17,5
"26",6,"10-5031",6,"161-5873",3,4,0,1,1,1,18,5
"27",6,"10-5031",6,"161-5874",2,3,0,0,0,1,19,5
"28",6,"10-5031",6,"161-5875",0,0,0,0,0,0,20,5
"29",6,"10-5031",6,"161-5882",3,3,0,0,1,1,21,5
"30",6,"10-5031",6,"9-5029",4,4,1,1,1,1,1,5
"31",6,"10-5031",6,"9-5032",0,0,0,0,0,0,2,5
"32",28,"100-5115",28,"100-5115",0,0,0,0,0,0,7,7
"33",28,"100-5115",28,"100-5628",5,4,1,1,1,1,8,7
"34",28,"100-5115",28,"100-5629",4,4,1,1,1,1,9,7
"35",28,"100-5115",28,"100-5630",2,4,0,1,0,1,10,7
"36",28,"100-5115",28,"100-5633",4,4,1,1,1,1,11,7
"37",28,"100-5115",28,"101-5115",0,0,0,0,0,0,12,7
"38",28,"100-5115",28,"101-5118",4,3,1,0,1,1,13,7
"39",28,"100-5115",28,"101-5630",2,4,0,1,0,1,14,7
"40",28,"100-5115",28,"101-5633",3,4,0,1,1,1,15,7
"41",28,"100-5115",28,"103-5116",4,3,1,0,1,1,16,7
"42",28,"100-5115",28,"103-6048",0,0,0,0,0,0,17,7
"43",28,"100-5115",28,"103-6049",2,2,0,0,0,1,18,7
"44",28,"100-5115",28,"103-6052",1,3,0,0,0,1,19,7
"45",28,"100-5115",28,"167-5927",2,2,0,0,0,1,20,7
"46",28,"100-5115",28,"167-5928",2,3,0,0,0,1,21,7
"47",28,"100-5115",28,"167-5929",0,0,0,0,0,0,22,7
"48",28,"100-5115",28,"167-5930",2,4,0,1,0,1,23,7
"49",28,"100-5115",28,"167-5931",2,4,0,1,0,1,24,7
"50",28,"100-5115",28,"167-5932",2,3,0,0,0,1,25,7
"51",28,"100-5115",28,"167-5933",4,4,1,1,1,1,26,7
"52",28,"100-5115",28,"50-5117",0,0,0,0,0,0,1,7
"53",28,"100-5115",28,"50-6049",2,2,0,0,0,1,2,7
"54",28,"100-5115",28,"50-6059",1,2,0,0,0,1,3,7
"55",28,"100-5115",28,"50-6062",0,0,0,0,0,0,4,7
"56",28,"100-5115",28,"50-6064",0,0,0,0,0,0,5,7
"57",28,"100-5115",28,"50-6400",3,2,0,0,1,1,6,7
"58",28,"100-5628",28,"100-5115",5,4,1,1,1,1,7,8
"59",28,"100-5628",28,"100-5628",5,4,1,1,1,1,8,8
"60",28,"100-5628",28,"100-5629",4,4,1,1,1,1,9,8
"61",28,"100-5628",28,"100-5630",2,4,0,1,0,1,10,8
"62",28,"100-5628",28,"100-5633",5,4,1,1,1,1,11,8
"63",28,"100-5628",28,"101-5115",5,4,1,1,1,1,12,8
"64",28,"100-5628",28,"101-5118",4,4,1,1,1,1,13,8
"65",28,"100-5628",28,"101-5630",2,4,0,1,0,1,14,8
"66",28,"100-5628",28,"101-5633",5,4,1,1,1,1,15,8
"67",28,"100-5628",28,"103-5116",2,4,0,1,0,1,16,8
"68",28,"100-5628",28,"103-6048",0,3,0,0,0,1,17,8
"69",28,"100-5628",28,"103-6049",3,4,0,1,1,1,18,8
"70",28,"100-5628",28,"103-6052",3,4,0,1,1,1,19,8
"71",28,"100-5628",28,"167-5927",4,4,1,1,1,1,20,8
"72",28,"100-5628",28,"167-5928",2,4,0,1,0,1,21,8
"73",28,"100-5628",28,"167-5929",3,4,0,1,1,1,22,8
"74",28,"100-5628",28,"167-5930",3,4,0,1,1,1,23,8
"75",28,"100-5628",28,"167-5931",2,4,0,1,0,1,24,8
"76",28,"100-5628",28,"167-5932",3,4,0,1,1,1,25,8
"77",28,"100-5628",28,"167-5933",3,4,0,1,1,1,26,8
"78",28,"100-5628",28,"50-5117",2,4,0,1,0,1,1,8
"79",28,"100-5628",28,"50-6049",2,4,0,1,0,1,2,8
"80",28,"100-5628",28,"50-6059",4,4,1,1,1,1,3,8
"81",28,"100-5628",28,"50-6062",0,3,0,0,0,1,4,8
"82",28,"100-5628",28,"50-6064",0,3,0,0,0,1,5,8
"83",28,"100-5628",28,"50-6400",2,4,0,1,0,1,6,8
"84",28,"100-5630",28,"100-5115",2,3,0,0,0,1,7,10
"85",28,"100-5630",28,"100-5628",2,4,0,1,0,1,8,10
"86",28,"100-5630",28,"100-5629",4,4,1,1,1,1,9,10
"87",28,"100-5630",28,"100-5630",5,4,1,1,1,1,10,10
"88",28,"100-5630",28,"100-5633",3,4,0,1,1,1,11,10
"89",28,"100-5630",28,"101-5115",2,3,0,0,0,1,12,10
"90",28,"100-5630",28,"101-5118",4,3,1,0,1,1,13,10
"91",28,"100-5630",28,"101-5630",5,4,1,1,1,1,14,10
"92",28,"100-5630",28,"101-5633",4,4,1,1,1,1,15,10
"93",28,"100-5630",28,"103-5116",2,4,0,1,0,1,16,10
"94",28,"100-5630",28,"103-6048",4,4,1,1,1,1,17,10
"95",28,"100-5630",28,"103-6049",1,3,0,0,0,1,18,10
"96",28,"100-5630",28,"103-6052",2,4,0,1,0,1,19,10
"97",28,"100-5630",28,"167-5927",2,3,0,0,0,1,20,10
"98",28,"100-5630",28,"167-5928",3,3,0,0,1,1,21,10
"99",28,"100-5630",28,"167-5929",0,0,0,0,0,0,22,10
"100",28,"100-5630",28,"167-5930",2,4,0,1,0,1,23,10
"101",28,"100-5630",28,"167-5931",0,0,0,0,0,0,24,10
"102",28,"100-5630",28,"167-5932",0,0,0,0,0,0,25,10
"103",28,"100-5630",28,"167-5933",0,0,0,0,0,0,26,10
"104",28,"100-5630",28,"50-5117",2,4,0,1,0,1,1,10
"105",28,"100-5630",28,"50-6049",1,0,0,0,0,0,2,10
"106",28,"100-5630",28,"50-6059",1,3,0,0,0,1,3,10
"107",28,"100-5630",28,"50-6062",4,4,1,1,1,1,4,10
"108",28,"100-5630",28,"50-6064",4,4,1,1,1,1,5,10
"109",28,"100-5630",28,"50-6400",0,0,0,0,0,0,6,10
"110",28,"101-5118",28,"100-5115",4,4,1,1,1,1,7,13
"111",28,"101-5118",28,"100-5628",4,4,1,1,1,1,8,13
"112",28,"101-5118",28,"100-5629",1,4,0,1,0,1,9,13
"113",28,"101-5118",28,"100-5630",3,4,0,1,1,1,10,13
"114",28,"101-5118",28,"100-5633",0,0,0,0,0,0,11,13
"115",28,"101-5118",28,"101-5115",4,4,1,1,1,1,12,13
"116",28,"101-5118",28,"101-5118",0,0,0,0,0,0,13,13
"117",28,"101-5118",28,"101-5630",3,4,0,1,1,1,14,13
"118",28,"101-5118",28,"101-5633",4,4,1,1,1,1,15,13
"119",28,"101-5118",28,"103-5116",2,4,0,1,0,1,16,13
"120",28,"101-5118",28,"103-6048",1,3,0,0,0,1,17,13
"121",28,"101-5118",28,"103-6049",1,4,0,1,0,1,18,13
"122",28,"101-5118",28,"103-6052",4,4,1,1,1,1,19,13
"123",28,"101-5118",28,"167-5927",3,4,0,1,1,1,20,13
"124",28,"101-5118",28,"167-5928",2,4,0,1,0,1,21,13
"125",28,"101-5118",28,"167-5929",0,0,0,0,0,0,22,13
"126",28,"101-5118",28,"167-5930",3,4,0,1,1,1,23,13
"127",28,"101-5118",28,"167-5932",2,4,0,1,0,1,25,13
"128",28,"101-5118",28,"167-5933",3,4,0,1,1,1,26,13
"129",28,"101-5118",28,"50-5117",0,0,0,0,0,0,1,13
"130",28,"101-5118",28,"50-6049",0,0,0,0,0,0,2,13
"131",28,"101-5118",28,"50-6059",4,4,1,1,1,1,3,13
"132",28,"101-5118",28,"50-6062",0,4,0,1,0,1,4,13
"133",28,"101-5118",28,"50-6064",0,4,0,1,0,1,5,13
"134",28,"101-5118",28,"50-6400",3,4,0,1,1,1,6,13
"135",16,"102-5076",16,"102-5076",5,4,1,1,1,1,8,8
"136",16,"102-5076",16,"102-6219",5,4,1,1,1,1,9,8
"137",16,"102-5076",16,"102-6223",5,4,1,1,1,1,10,8
"138",16,"102-5076",16,"107-5077",3,4,0,1,1,1,11,8
"139",16,"102-5076",16,"107-6161",1,0,0,0,0,0,12,8
"140",16,"102-5076",16,"107-6274",2,3,0,0,0,1,15,8
"141",16,"102-5076",16,"113-5075",3,4,0,1,1,1,16,8
"142",16,"102-5076",16,"113-6161",1,0,0,0,0,0,17,8
"143",16,"102-5076",16,"113-6164",2,3,0,0,0,1,18,8
"144",16,"102-5076",16,"152-5794",4,4,1,1,1,1,19,8
"145",16,"102-5076",16,"152-5796",5,4,1,1,1,1,20,8
"146",16,"102-5076",16,"152-5797",2,3,0,0,0,1,21,8
"147",16,"102-5076",16,"152-5798",1,0,0,0,0,0,22,8
"148",16,"102-5076",16,"152-6219",0,0,0,0,0,0,23,8
"149",16,"102-5076",16,"31-5074",3,4,0,1,1,1,1,8
"150",16,"102-5076",16,"31-6124",2,3,0,0,0,1,2,8
"151",16,"102-5076",16,"31-6219",1,0,0,0,0,0,3,8
"152",16,"102-5076",16,"59-5073",3,4,0,1,1,1,4,8
"153",16,"102-5076",16,"59-6076",2,3,0,0,0,1,6,8
"154",16,"102-5076",16,"59-6219",1,0,0,0,0,0,7,8
"155",16,"102-6223",16,"102-5076",5,3,1,0,1,1,8,10
"156",16,"102-6223",16,"102-6219",5,4,1,1,1,1,9,10
"157",16,"102-6223",16,"102-6223",5,4,1,1,1,1,10,10
"158",16,"102-6223",16,"107-5077",2,3,0,0,0,1,11,10
"159",16,"102-6223",16,"107-6161",2,3,0,0,0,1,12,10
"160",16,"102-6223",16,"107-6274",3,3,0,0,1,1,15,10
"161",16,"102-6223",16,"113-5075",2,3,0,0,0,1,16,10
"162",16,"102-6223",16,"113-6161",2,3,0,0,0,1,17,10
"163",16,"102-6223",16,"113-6164",3,4,0,1,1,1,18,10
"164",16,"102-6223",16,"152-5794",2,4,0,1,0,1,19,10
"165",16,"102-6223",16,"152-5796",4,4,1,1,1,1,20,10
"166",16,"102-6223",16,"152-5797",4,4,1,1,1,1,21,10
"167",16,"102-6223",16,"152-5798",4,4,1,1,1,1,22,10
"168",16,"102-6223",16,"152-6219",4,4,1,1,1,1,23,10
"169",16,"102-6223",16,"31-5074",3,3,0,0,1,1,1,10
"170",16,"102-6223",16,"31-6124",3,3,0,0,1,1,2,10
"171",16,"102-6223",16,"31-6219",4,4,1,1,1,1,3,10
"172",16,"102-6223",16,"59-5073",4,4,1,1,1,1,4,10
"173",16,"102-6223",16,"59-6076",4,3,1,0,1,1,6,10
"174",16,"102-6223",16,"59-6219",5,4,1,1,1,1,7,10
"175",28,"103-5116",28,"100-5115",4,4,1,1,1,1,7,16
"176",28,"103-5116",28,"100-5628",3,4,0,1,1,1,8,16
"177",28,"103-5116",28,"100-5629",1,3,0,0,0,1,9,16
"178",28,"103-5116",28,"100-5630",2,4,0,1,0,1,10,16
"179",28,"103-5116",28,"100-5633",2,4,0,1,0,1,11,16
"180",28,"103-5116",28,"101-5115",4,4,1,1,1,1,12,16
"181",28,"103-5116",28,"101-5118",2,4,0,1,0,1,13,16
"182",28,"103-5116",28,"101-5630",2,4,0,1,0,1,14,16
"183",28,"103-5116",28,"101-5633",0,0,0,0,0,0,15,16
"184",28,"103-5116",28,"103-5116",0,0,0,0,0,0,16,16
"185",28,"103-5116",28,"103-6048",3,4,0,1,1,1,17,16
"186",28,"103-5116",28,"103-6049",3,4,0,1,1,1,18,16
"187",28,"103-5116",28,"103-6052",5,4,1,1,1,1,19,16
"188",28,"103-5116",28,"167-5927",2,4,0,1,0,1,20,16
"189",28,"103-5116",28,"167-5928",2,4,0,1,0,1,21,16
"190",28,"103-5116",28,"167-5929",2,4,0,1,0,1,22,16
"191",28,"103-5116",28,"167-5930",2,4,0,1,0,1,23,16
"192",28,"103-5116",28,"167-5931",2,4,0,1,0,1,24,16
"193",28,"103-5116",28,"167-5932",2,4,0,1,0,1,25,16
"194",28,"103-5116",28,"167-5933",4,4,1,1,1,1,26,16
"195",28,"103-5116",28,"50-5117",4,4,1,1,1,1,1,16
"196",28,"103-5116",28,"50-6049",0,0,0,0,0,0,2,16
"197",28,"103-5116",28,"50-6059",3,4,0,1,1,1,3,16
"198",28,"103-5116",28,"50-6062",2,4,0,1,0,1,4,16
"199",28,"103-5116",28,"50-6064",0,0,0,0,0,0,5,16
"200",28,"103-5116",28,"50-6400",0,0,0,0,0,0,6,16
"201",28,"103-6049",28,"100-5115",0,0,0,0,0,0,7,18
"202",28,"103-6049",28,"100-5628",1,0,0,0,0,0,8,18
"203",28,"103-6049",28,"100-5629",0,0,0,0,0,0,9,18
"204",28,"103-6049",28,"100-5630",0,0,0,0,0,0,10,18
"205",28,"103-6049",28,"100-5633",3,4,0,1,1,1,11,18
"206",28,"103-6049",28,"101-5115",0,0,0,0,0,0,12,18
"207",28,"103-6049",28,"101-5118",0,0,0,0,0,0,13,18
"208",28,"103-6049",28,"101-5630",0,0,0,0,0,0,14,18
"209",28,"103-6049",28,"101-5633",4,4,1,1,1,1,15,18
"210",28,"103-6049",28,"103-5116",3,3,0,0,1,1,16,18
"211",28,"103-6049",28,"103-6048",2,2,0,0,0,1,17,18
"212",28,"103-6049",28,"103-6049",0,0,0,0,0,0,18,18
"213",28,"103-6049",28,"103-6052",4,2,1,0,1,1,19,18
"214",28,"103-6049",28,"167-5927",3,1,0,0,1,0,20,18
"215",28,"103-6049",28,"167-5928",0,0,0,0,0,0,21,18
"216",28,"103-6049",28,"167-5929",0,0,0,0,0,0,22,18
"217",28,"103-6049",28,"167-5930",5,4,1,1,1,1,23,18
"218",28,"103-6049",28,"167-5931",0,0,0,0,0,0,24,18
"219",28,"103-6049",28,"167-5932",0,0,0,0,0,0,25,18
"220",28,"103-6049",28,"167-5933",0,0,0,0,0,0,26,18
"221",28,"103-6049",28,"50-5117",4,2,1,0,1,1,1,18
"222",28,"103-6049",28,"50-6049",0,0,0,0,0,0,2,18
"223",28,"103-6049",28,"50-6059",4,0,1,0,1,0,3,18
"224",28,"103-6049",28,"50-6062",1,0,0,0,0,0,4,18
"225",28,"103-6049",28,"50-6064",3,3,0,0,1,1,5,18
"226",28,"103-6049",28,"50-6400",0,0,0,0,0,0,6,18
"227",28,"103-6052",28,"100-5115",3,4,0,1,1,1,7,19
"228",28,"103-6052",28,"100-5628",4,4,1,1,1,1,8,19
"229",28,"103-6052",28,"100-5629",3,4,0,1,1,1,9,19
"230",28,"103-6052",28,"100-5630",3,4,0,1,1,1,10,19
"231",28,"103-6052",28,"100-5633",4,4,1,1,1,1,11,19
"232",28,"103-6052",28,"101-5115",3,4,0,1,1,1,12,19
"233",28,"103-6052",28,"101-5118",4,4,1,1,1,1,13,19
"234",28,"103-6052",28,"101-5630",3,4,0,1,1,1,14,19
"235",28,"103-6052",28,"101-5633",4,4,1,1,1,1,15,19
"236",28,"103-6052",28,"103-5116",5,4,1,1,1,1,16,19
"237",28,"103-6052",28,"103-6048",4,4,1,1,1,1,17,19
"238",28,"103-6052",28,"103-6049",5,4,1,1,1,1,18,19
"239",28,"103-6052",28,"103-6052",5,4,1,1,1,1,19,19
"240",28,"103-6052",28,"167-5927",4,4,1,1,1,1,20,19
"241",28,"103-6052",28,"167-5928",3,4,0,1,1,1,21,19
"242",28,"103-6052",28,"167-5929",4,4,1,1,1,1,22,19
"243",28,"103-6052",28,"167-5930",5,4,1,1,1,1,23,19
"244",28,"103-6052",28,"167-5931",0,0,0,0,0,0,24,19
"245",28,"103-6052",28,"167-5932",4,4,1,1,1,1,25,19
"246",28,"103-6052",28,"167-5933",4,4,1,1,1,1,26,19
"247",28,"103-6052",28,"50-5117",3,4,0,1,1,1,1,19
"248",28,"103-6052",28,"50-6049",4,4,1,1,1,1,2,19
"249",28,"103-6052",28,"50-6059",4,4,1,1,1,1,3,19
"250",28,"103-6052",28,"50-6062",3,4,0,1,1,1,4,19
"251",28,"103-6052",28,"50-6064",3,4,0,1,1,1,5,19
"252",28,"103-6052",28,"50-6400",4,4,1,1,1,1,6,19
"253",29,"104-5120",29,"104-5120",5,4,1,1,1,1,4,4
"254",29,"104-5120",29,"104-6191",2,1,0,0,0,0,5,4
"255",29,"104-5120",29,"104-6194",4,2,1,0,1,1,6,4
"256",29,"104-5120",29,"128-5121",4,4,1,1,1,1,7,4
"257",29,"104-5120",29,"128-6299",1,1,0,0,0,0,8,4
"258",29,"104-5120",29,"128-6300",3,3,0,0,1,1,9,4
"259",29,"104-5120",29,"141-5700",3,3,0,0,1,1,10,4
"260",29,"104-5120",29,"141-5701",1,0,0,0,0,0,11,4
"261",29,"104-5120",29,"141-5702",4,4,1,1,1,1,12,4
"262",29,"104-5120",29,"141-5703",2,2,0,0,0,1,13,4
"263",29,"104-5120",29,"141-5704",2,4,0,1,0,1,14,4
"264",29,"104-5120",29,"141-5707",0,0,0,0,0,0,15,4
"265",29,"104-5120",29,"18-5119",4,4,1,1,1,1,1,4
"266",29,"104-5120",29,"18-6121",2,1,0,0,0,0,2,4
"267",29,"104-5120",29,"18-6122",0,2,0,0,0,1,3,4
"268",29,"104-6194",29,"104-5120",5,4,1,1,1,1,4,6
"269",29,"104-6194",29,"104-6191",4,4,1,1,1,1,5,6
"270",29,"104-6194",29,"104-6194",5,4,1,1,1,1,6,6
"271",29,"104-6194",29,"128-5121",4,4,1,1,1,1,7,6
"272",29,"104-6194",29,"128-6299",2,4,0,1,0,1,8,6
"273",29,"104-6194",29,"128-6300",5,4,1,1,1,1,9,6
