"","from","to","value"
"1",2716,2676,1
"2",2782,2676,1
"3",2807,2676,1
"4",2824,2676,1
"5",2852,2676,1
"6",3022,2676,1
"7",2710,2678,1
"8",2767,2678,1
"9",2872,2678,1
"10",2879,2678,1
"11",2959,2678,1
"12",3028,2678,1
"13",3143,2678,1
"14",2684,2679,1
"15",2701,2679,1
"16",2833,2679,1
"17",2847,2679,1
"18",2879,2679,1
"19",2977,2679,1
"20",3015,2679,1
"21",3108,2679,1
"22",3115,2679,1
"23",2901,2683,1
"24",2971,2683,1
"25",3081,2683,1
"26",2767,2684,1
"27",2978,2684,1
"28",3104,2684,1
"29",2768,2685,1
"30",2789,2685,1
"31",2813,2685,1
"32",3115,2685,1
"33",2761,2686,1
"34",2767,2686,1
"35",2879,2686,1
"36",2925,2686,1
"37",2971,2686,1
"38",2977,2686,1
"39",3021,2686,1
"40",3070,2686,1
"41",2744,2687,1
"42",2879,2687,1
"43",2910,2687,1
"44",3014,2687,1
"45",3104,2687,1
"46",2768,2690,1
"47",2827,2690,1
"48",2947,2690,1
"49",3057,2690,1
"50",3115,2690,1
"51",2733,2691,1
"52",3104,2691,1
"53",2711,2693,1
"54",2731,2693,1
"55",2846,2693,1
"56",3033,2693,1
"57",2784,2694,1
"58",2814,2694,1
"59",2834,2694,1
"60",2800,2696,1
"61",2847,2696,1
"62",2879,2696,1
"63",2889,2696,1
"64",2947,2696,1
"65",2968,2696,1
"66",2976,2696,1
"67",2977,2696,1
"68",3015,2696,1
"69",3067,2696,1
"70",3102,2696,1
"71",3108,2696,1
"72",2679,2701,1
"73",2684,2701,1
"74",2770,2701,1
"75",2833,2701,1
"76",3115,2701,1
"77",2767,2703,1
"78",2828,2703,1
"79",2946,2703,1
"80",3082,2703,1
"81",2761,2704,1
"82",2879,2704,1
"83",3014,2704,1
"84",3104,2704,1
"85",3114,2704,1
"86",2723,2705,1
"87",2947,2705,1
"88",2971,2705,1
"89",3014,2705,1
"90",2830,2706,1
"91",2948,2706,1
"92",2971,2706,1
"93",2678,2710,1
"94",2761,2710,1
"95",2872,2710,1
"96",2995,2710,1
"97",3028,2710,1
"98",2686,2711,1
"99",2693,2711,1
"100",2710,2711,1
"101",2847,2711,1
"102",2872,2711,1
"103",2925,2711,1
"104",2977,2711,1
"105",2987,2711,1
"106",3028,2711,1
"107",3033,2711,1
"108",2910,2712,1
"109",3114,2712,1
"110",2800,2715,1
"111",2889,2715,1
"112",3006,2715,1
"113",3102,2715,1
"114",3022,2716,1
"115",2722,2718,1
"116",2789,2718,1
"117",2815,2718,1
"118",2833,2718,1
"119",2978,2718,1
"120",2838,2719,1
"121",2910,2719,1
"122",2925,2719,1
"123",3114,2719,1
"124",2684,2720,1
"125",2767,2720,1
"126",2774,2720,1
"127",2898,2720,1
"128",2965,2720,1
"129",2995,2720,1
"130",2898,2721,1
"131",2728,2722,1
"132",2815,2722,1
"133",2880,2722,1
"134",2744,2723,1
"135",2881,2723,1
"136",2908,2723,1
"137",2947,2723,1
"138",3014,2723,1
"139",3104,2723,1
"140",3114,2723,1
"141",2744,2724,1
"142",2772,2724,1
"143",2879,2724,1
"144",2911,2724,1
"145",2996,2724,1
"146",3014,2724,1
"147",3104,2724,1
"148",2770,2727,1
"149",2854,2727,1
"150",2855,2727,1
"151",2978,2727,1
"152",3073,2727,1
"153",3136,2727,1
"154",2718,2728,1
"155",2722,2728,1
"156",2815,2728,1
"157",2880,2728,1
"158",3055,2728,1
"159",2774,2731,1
"160",2847,2731,1
"161",3021,2731,1
"162",3028,2731,1
"163",2704,2733,1
"164",2879,2733,1
"165",2883,2733,1
"166",2910,2733,1
"167",3014,2733,1
"168",3104,2733,1
"169",2719,2734,1
"170",2757,2734,1
"171",2838,2734,1
"172",2883,2734,1
"173",2904,2734,1
"174",2910,2734,1
"175",3033,2734,1
"176",3068,2734,1
"177",3114,2734,1
"178",2827,2738,1
"179",2988,2738,1
"180",2975,2739,1
"181",3010,2739,1
"182",2722,2740,1
"183",2815,2740,1
"184",2880,2740,1
"185",2905,2740,1
"186",2978,2740,1
"187",3135,2740,1
"188",2746,2741,1
"189",2784,2741,1
"190",2814,2741,1
"191",2834,2741,1
"192",2849,2741,1
"193",3032,2741,1
"194",2687,2744,1
"195",2774,2744,1
"196",2810,2744,1
"197",2879,2744,1
"198",2908,2744,1
"199",3104,2744,1
"200",2793,2749,1
"201",2828,2749,1
"202",2895,2749,1
"203",2944,2749,1
"204",2948,2749,1
"205",3070,2749,1
"206",3082,2749,1
"207",3083,2749,1
"208",2800,2752,1
"209",2845,2752,1
"210",2919,2752,1
"211",2938,2752,1
"212",2995,2752,1
"213",2996,2752,1
"214",3014,2752,1
"215",3051,2752,1
"216",3091,2752,1
"217",2710,2753,1
"218",3028,2753,1
"219",3033,2753,1
"220",2883,2757,1
"221",2910,2757,1
"222",2938,2757,1
"223",3114,2757,1
"224",2765,2760,1
"225",2768,2760,1
"226",2971,2760,1
"227",2996,2760,1
"228",3114,2760,1
"229",2774,2761,1
"230",2946,2761,1
"231",2971,2761,1
"232",3009,2761,1
"233",3056,2761,1
"234",3067,2761,1
"235",2810,2765,1
"236",2879,2765,1
"237",2908,2765,1
"238",3014,2765,1
"239",3104,2765,1
"240",2828,2766,1
"241",2761,2767,1
"242",2879,2767,1
"243",2910,2767,1
"244",3014,2767,1
"245",3114,2767,1
"246",2685,2768,1
"247",2971,2768,1
"248",2722,2770,1
"249",2815,2770,1
"250",2833,2770,1
"251",2953,2770,1
"252",2978,2770,1
"253",2998,2770,1
"254",3135,2770,1
"255",3136,2770,1
"256",2721,2772,1
"257",3055,2772,1
"258",2978,2773,1
"259",2910,2774,1
"260",2995,2774,1
"261",3056,2774,1
"262",3147,2774,1
"263",3026,2779,1
"264",2716,2782,1
"265",2888,2782,1
"266",3014,2782,1
"267",3022,2782,1
"268",2746,2784,1
"269",2814,2784,1
"270",2834,2784,1
"271",3004,2784,1
"272",2872,2785,1
"273",2949,2785,1
"274",3028,2785,1
"275",2880,2789,1
"276",2978,2789,1
"277",3014,2789,1
"278",3115,2789,1
"279",2718,2790,1
"280",2722,2790,1
"281",2728,2790,1
"282",2815,2790,1
"283",3055,2790,1
"284",2895,2793,1
"285",2948,2793,1
"286",3070,2793,1
"287",3082,2793,1
"288",3083,2793,1
"289",2761,2795,1
"290",2767,2795,1
"291",2879,2795,1
"292",2888,2795,1
"293",2910,2795,1
"294",2971,2795,1
"295",3021,2795,1
"296",3070,2795,1
"297",2733,2798,1
"298",2768,2798,1
"299",2789,2798,1
"300",2816,2798,1
"301",2879,2798,1
"302",2883,2798,1
"303",2971,2798,1
"304",2995,2798,1
"305",2996,2798,1
"306",3049,2798,1
"307",3104,2798,1
"308",3115,2798,1
"309",2912,2799,1
"310",3019,2799,1
"311",3149,2799,1
"312",2687,2800,1
"313",2696,2800,1
"314",2889,2800,1
"315",3067,2800,1
"316",2901,2802,1
"317",2911,2802,1
"318",2912,2802,1
"319",3081,2802,1
"320",2910,2804,1
"321",2925,2804,1
"322",2947,2804,1
"323",2853,2807,1
"324",3022,2807,1
"325",2744,2810,1
"326",3049,2810,1
"327",2789,2813,1
"328",3088,2813,1
"329",3115,2813,1
"330",2733,2814,1
"331",2768,2814,1
"332",3104,2814,1
"333",2722,2815,1
"334",2847,2816,1
"335",3020,2816,1
"336",3026,2816,1
"337",3104,2816,1
"338",2678,2820,1
"339",2959,2820,1
"340",2970,2820,1
"341",2879,2821,1
"342",2910,2821,1
"343",2879,2823,1
"344",2971,2823,1
"345",3034,2823,1
"346",3057,2823,1
"347",3104,2823,1
"348",2716,2824,1
"349",2782,2824,1
"350",2950,2824,1
"351",3022,2824,1
"352",2738,2827,1
"353",2879,2827,1
"354",3049,2827,1
"355",3104,2827,1
"356",2749,2828,1
"357",2946,2828,1
"358",3070,2828,1
"359",3082,2828,1
"360",2768,2829,1
"361",2798,2829,1
"362",2858,2829,1
"363",2879,2829,1
"364",2988,2829,1
"365",3016,2829,1
"366",3133,2829,1
"367",2767,2830,1
"368",2948,2830,1
"369",2701,2833,1
"370",2718,2833,1
"371",2746,2834,1
"372",3004,2834,1
"373",2761,2838,1
"374",2910,2838,1
"375",3068,2838,1
"376",3114,2838,1
"377",3115,2838,1
"378",2838,2839,1
"379",2910,2839,1
"380",2920,2839,1
"381",2995,2839,1
"382",3068,2839,1
"383",3114,2839,1
"384",2807,2842,1
"385",2950,2842,1
"386",2687,2845,1
"387",2800,2845,1
"388",2879,2845,1
"389",2971,2845,1
"390",2977,2845,1
"391",2996,2845,1
"392",2731,2846,1
"393",2995,2846,1
"394",3021,2846,1
"395",2879,2847,1
"396",2977,2847,1
"397",3037,2847,1
"398",2814,2849,1
"399",2782,2852,1
"400",2824,2852,1
"401",2842,2852,1
"402",2950,2852,1
"403",3022,2852,1
"404",3061,2852,1
"405",2807,2853,1
"406",2978,2854,1
"407",3073,2854,1
"408",2854,2855,1
"409",3039,2855,1
"410",3073,2855,1
"411",2685,2858,1
"412",2733,2858,1
"413",2768,2858,1
"414",2789,2858,1
"415",2798,2858,1
"416",2879,2858,1
"417",2919,2858,1
"418",3014,2858,1
"419",3020,2858,1
"420",3049,2858,1
"421",3104,2858,1
"422",3115,2858,1
"423",2795,2859,1
"424",2944,2859,1
"425",3021,2859,1
"426",2739,2860,1
"427",2912,2860,1
"428",2968,2860,1
"429",2970,2860,1
"430",2975,2860,1
"431",2995,2860,1
"432",3014,2860,1
"433",3019,2860,1
"434",2814,2862,1
"435",2733,2865,1
"436",2761,2865,1
"437",2950,2865,1
"438",3022,2865,1
"439",3104,2865,1
"440",2880,2868,1
"441",2978,2868,1
"442",2889,2871,1
"443",3006,2871,1
"444",3028,2871,1
"445",3033,2871,1
"446",3102,2871,1
"447",2678,2872,1
"448",2910,2872,1
"449",3028,2872,1
"450",2733,2873,1
"451",2910,2873,1
"452",2995,2873,1
"453",2768,2876,1
"454",2888,2876,1
"455",2938,2876,1
"456",2970,2876,1
"457",3067,2876,1
"458",2890,2878,1
"459",2704,2879,1
"460",2744,2879,1
"461",2767,2879,1
"462",2816,2879,1
"463",2910,2879,1
"464",2978,2879,1
"465",3014,2879,1
"466",3026,2879,1
"467",3104,2879,1
"468",3114,2879,1
"469",2789,2880,1
"470",2879,2880,1
"471",2978,2880,1
"472",2996,2880,1
"473",2744,2881,1
"474",3114,2881,1
"475",2749,2882,1
"476",3066,2882,1
"477",3070,2882,1
"478",3092,2882,1
"479",2733,2883,1
"480",2879,2883,1
"481",2910,2883,1
"482",3104,2883,1
"483",3114,2883,1
"484",2789,2884,1
"485",2996,2884,1
"486",2768,2888,1
"487",2879,2888,1
"488",2996,2888,1
"489",3115,2888,1
"490",2687,2889,1
"491",2800,2889,1
"492",2879,2889,1
"493",2995,2889,1
"494",3067,2889,1
"495",2883,2890,1
"496",2909,2890,1
"497",3104,2890,1
"498",3070,2895,1
"499",2728,2897,1
"500",2790,2897,1
"501",2815,2897,1
"502",3055,2897,1
"503",3037,2898,1
"504",3104,2898,1
"505",2710,2900,1
"506",2872,2900,1
"507",2949,2900,1
"508",3028,2900,1
"509",2683,2901,1
"510",2802,2901,1
"511",3081,2901,1
"512",2734,2904,1
"513",2757,2904,1
"514",2838,2904,1
"515",2910,2904,1
"516",3068,2904,1
"517",2770,2905,1
"518",2815,2905,1
"519",2978,2905,1
"520",2686,2907,1
"521",2859,2907,1
"522",2882,2907,1
"523",3021,2907,1
"524",3072,2907,1
"525",2744,2908,1
"526",2765,2908,1
"527",2881,2908,1
"528",2910,2908,1
"529",3056,2908,1
"530",2890,2909,1
"531",3014,2909,1
"532",3032,2909,1
"533",2883,2910,1
"534",2904,2910,1
"535",2925,2910,1
"536",2971,2910,1
"537",2995,2910,1
"538",3067,2910,1
"539",3114,2910,1
"540",3140,2910,1
"541",2802,2911,1
"542",3104,2911,1
"543",2798,2912,1
"544",2911,2912,1
"545",2971,2912,1
"546",2995,2912,1
"547",3115,2912,1
"548",2798,2913,1
"549",2829,2913,1
"550",2988,2913,1
"551",3016,2913,1
"552",3110,2913,1
"553",3115,2913,1
"554",3133,2913,1
"555",3149,2913,1
"556",2880,2915,1
"557",2978,2915,1
"558",2749,2917,1
"559",2793,2917,1
"560",2795,2917,1
"561",2882,2917,1
"562",2944,2917,1
"563",2972,2917,1
"564",3070,2917,1
"565",3082,2917,1
"566",2910,2918,1
"567",2995,2918,1
"568",2810,2919,1
"569",2879,2919,1
"570",2995,2919,1
"571",3014,2919,1
"572",3049,2919,1
"573",3115,2919,1
"574",2712,2920,1
"575",2883,2920,1
"576",2910,2920,1
"577",2971,2920,1
"578",2988,2920,1
"579",3068,2920,1
"580",3114,2920,1
"581",3053,2922,1
"582",2883,2925,1
"583",2910,2925,1
"584",2920,2925,1
"585",3114,2925,1
"586",2687,2926,1
"587",2879,2926,1
"588",2879,2929,1
"589",2910,2929,1
"590",2978,2929,1
"591",3014,2929,1
"592",2757,2938,1
"593",2888,2938,1
"594",2995,2938,1
"595",3049,2938,1
"596",2895,2944,1
"597",2684,2945,1
"598",2690,2945,1
"599",2733,2945,1
"600",2798,2945,1
"601",2858,2945,1
"602",2977,2945,1
"603",2988,2945,1
"604",3104,2945,1
"605",3115,2945,1
"606",2733,2946,1
"607",2766,2946,1
"608",2971,2946,1
"609",3104,2946,1
"610",2705,2947,1
"611",2744,2947,1
"612",2910,2947,1
"613",2995,2947,1
"614",3070,2948,1
"615",2987,2949,1
"616",3033,2949,1
"617",2842,2950,1
"618",3061,2950,1
"619",2879,2952,1
"620",2910,2952,1
"621",3021,2952,1
"622",3056,2952,1
"623",2770,2953,1
"624",2815,2953,1
"625",2905,2953,1
"626",2978,2953,1
"627",2761,2959,1
"628",2948,2959,1
"629",3037,2959,1
"630",3070,2959,1
"631",2800,2963,1
"632",2889,2963,1
"633",2910,2963,1
"634",2995,2963,1
"635",2720,2965,1
"636",2768,2968,1
"637",2847,2968,1
"638",2860,2968,1
"639",2879,2968,1
"640",2992,2968,1
"641",2995,2968,1
"642",3008,2968,1
"643",3015,2968,1
"644",3108,2968,1
"645",2959,2970,1
"646",2768,2971,1
"647",2774,2971,1
"648",2879,2971,1
"649",2910,2971,1
"650",2978,2971,1
"651",2749,2972,1
"652",2761,2972,1
"653",2793,2972,1
"654",2948,2972,1
"655",3070,2972,1
"656",3083,2972,1
"657",2744,2973,1
"658",2879,2973,1
"659",2888,2973,1
"660",2919,2973,1
