id,tenure,title,location,gender,ethnic,relationships,success,appreciate,age,elite,feeder,work1,work2,work3,work4,work5,work6,work7,work8,work9,work10,work11,work12,work13,work14,work15,work16,work17,work18,work19,work20,work21,work22,work23,work24
2676,2,"Analyst",9,"M","W",2,1.6,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2678,4,"Partner",12,"M","W",1.4,3.8,2.4,56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2679,4,"Analyst",4,"F","B",1.6,1.8,1.4,28,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
2683,1.5,"Analyst",14,"F","W",2.2,1.8,2,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
2684,9,"Partner",4,"M","W",4.6,4.8,4.2,61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
2685,20,"Partner",10,"M","W",4.2,2.8,1.4,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2686,6,"Partner",11,"F","W",2.8,3,2,53,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
2687,12,"Partner",10,"M","W",4.4,3.6,3.8,62,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
2690,12,"Lateral",10,"F","W",4.4,3.2,2.6,49,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
2691,2,"Lateral",10,"M","W",3.2,4,2.8,62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2693,2,"Analyst",8,"M","W",3.8,3.6,3.8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
