ID,exit,promotion
2676,1,0
2678,0,0
2679,1,0
2683,1,0
2684,0,0
2685,0,0
2686,0,0
2687,0,0
2690,0,0
2691,1,0
2693,0,0
2694,0,0
2696,0,1
2701,1,0
2703,0,0
2704,1,0
2705,0,0
2706,0,0
2710,0,0
2711,1,0
2712,0,0
2715,1,0
2716,1,0
2718,0,1
2719,1,0
2720,1,0
2721,0,0
2722,0,1
2723,0,0
2724,0,0
2727,0,0
2728,0,1
2731,0,0
2733,0,0
2734,0,0
2738,0,0
2739,0,0
2740,0,0
2741,1,0
2744,1,0
2746,1,0
2749,0,0
2752,1,0
2753,0,0
2757,0,0
2760,0,0
2761,1,0
2765,1,0
2766,1,0
2767,0,0
2768,0,0
2770,1,0
2772,1,0
2773,1,0
2774,1,0
2779,1,0
2782,0,1
2784,0,0
2785,1,0
2789,0,0
2790,0,0
2793,1,0
2795,0,0
2798,0,0
2799,0,0
2800,1,0
2802,0,1
2804,0,0
2807,1,0
2810,1,0
2813,0,0
2814,1,0
2815,1,0
2816,0,0
2820,0,1
2821,0,0
2823,1,0
2824,1,0
2827,0,0
2828,0,0
2829,0,0
2830,0,0
2833,0,1
2834,1,0
2838,0,0
2839,0,0
2842,0,1
2845,0,1
2846,0,0
2847,0,0
2849,1,1
2852,0,0
2853,1,0
2854,0,0
2855,1,0
2858,0,0
2859,0,1
2860,0,0
2862,0,0
2865,0,0
2868,0,0
2871,0,1
2872,0,0
2873,0,0
2876,0,1
2878,1,0
2879,1,0
2880,0,0
2881,0,0
2882,1,0
2883,1,0
2884,0,0
2888,0,0
2889,1,0
2890,0,0
2895,1,0
2896,0,1
2897,0,0
2898,0,0
2900,1,0
2901,0,0
2904,1,0
2905,1,0
2907,1,0
2908,1,0
2909,0,0
2910,0,1
2911,0,0
2912,0,0
2913,0,0
2915,1,0
2917,0,0
2918,1,0
2919,0,0
2920,1,0
2922,1,0
2925,0,0
2926,0,0
2929,0,0
2937,1,0
2938,0,0
2944,0,1
2945,0,1
2946,1,0
2947,0,0
2948,0,0
2949,1,0
2950,1,0
2952,0,0
2953,1,0
2959,0,0
2963,0,0
2965,0,0
2968,0,0
2970,0,0
2971,0,0
2972,1,0
2973,0,0
2975,0,1
2976,0,0
2977,0,0
2978,0,0
2984,1,0
2986,0,1
2987,0,1
2988,0,0
2992,1,0
2995,0,0
2996,0,0
2998,0,1
2999,0,0
3000,0,0
3004,1,0
3006,1,0
3008,1,0
3009,0,1
3010,0,0
3011,0,0
3013,1,0
3014,0,0
3015,0,1
3016,1,0
3019,0,0
3020,0,0
3021,0,0
3022,1,0
3026,0,0
3028,0,0
3032,0,0
3033,0,1
3034,0,0
3036,1,0
3037,0,0
3038,1,0
3039,1,0
3042,1,0
3049,0,0
3050,0,0
3051,1,0
3053,0,0
3055,0,0
3056,0,0
3057,0,0
3058,1,0
3060,0,0
3061,1,0
3062,0,1
3063,0,0
3066,1,0
3067,0,0
3068,0,0
3070,0,0
3071,0,1
3072,0,1
3073,0,0
3080,1,0
3081,0,0
3082,0,1
3083,1,0
3088,0,1
3091,1,0
3092,0,0
3093,0,0
3094,1,0
3095,0,1
3101,0,0
3102,1,0
3103,0,1
3104,0,0
3108,0,1
3110,1,0
3113,1,0
3114,0,0
3115,0,0
3116,1,0
3117,1,0
3130,1,0
3131,0,1
3133,1,0
3135,1,0
3136,1,0
3140,1,0
3143,0,1
3144,0,0
3147,0,0
3149,0,1
3151,1,0
