"","from","to","value"
"1",2852,2676,1
"2",3042,2676,1
"3",2710,2678,1
"4",2753,2678,1
"5",2820,2678,1
"6",2872,2678,1
"7",2950,2678,1
"8",2970,2678,1
"9",2987,2678,1
"10",3033,2678,1
"11",3113,2678,1
"12",3143,2678,1
"13",2701,2679,1
"14",2833,2679,1
"15",2965,2679,1
"16",2720,2684,1
"17",2721,2684,1
"18",2789,2684,1
"19",2833,2684,1
"20",2847,2684,1
"21",2880,2684,1
"22",2884,2684,1
"23",2898,2684,1
"24",2978,2684,1
"25",3037,2684,1
"26",3055,2684,1
"27",3070,2684,1
"28",3081,2684,1
"29",3095,2684,1
"30",2813,2685,1
"31",3115,2685,1
"32",2711,2686,1
"33",2749,2686,1
"34",2907,2686,1
"35",3013,2686,1
"36",3021,2686,1
"37",3072,2686,1
"38",3082,2686,1
"39",3083,2686,1
"40",3092,2686,1
"41",3108,2686,1
"42",2704,2687,1
"43",2724,2687,1
"44",2744,2687,1
"45",2765,2687,1
"46",2779,2687,1
"47",2789,2687,1
"48",2800,2687,1
"49",2810,2687,1
"50",2879,2687,1
"51",2889,2687,1
"52",2910,2687,1
"53",2912,2687,1
"54",2988,2687,1
"55",3006,2687,1
"56",3014,2687,1
"57",3102,2687,1
"58",2691,2690,1
"59",2947,2690,1
"60",3115,2690,1
"61",3033,2693,1
"62",2947,2696,1
"63",2963,2696,1
"64",2968,2696,1
"65",3102,2696,1
"66",2679,2701,1
"67",2833,2701,1
"68",2965,2701,1
"69",2749,2703,1
"70",3013,2703,1
"71",2696,2704,1
"72",2733,2704,1
"73",2768,2704,1
"74",2789,2704,1
"75",2810,2704,1
"76",2820,2704,1
"77",2829,2704,1
"78",2838,2704,1
"79",2847,2704,1
"80",2858,2704,1
"81",2879,2704,1
"82",2884,2704,1
"83",2988,2704,1
"84",3000,2704,1
"85",3016,2704,1
"86",3104,2704,1
"87",3115,2704,1
"88",3133,2704,1
"89",2690,2705,1
"90",2947,2705,1
"91",2948,2706,1
"92",2753,2710,1
"93",2872,2710,1
"94",2987,2710,1
"95",3033,2710,1
"96",3143,2710,1
"97",2693,2711,1
"98",2847,2711,1
"99",2950,2711,1
"100",2968,2711,1
"101",2987,2711,1
"102",3033,2711,1
"103",3143,2711,1
"104",2849,2712,1
"105",2910,2712,1
"106",3104,2712,1
"107",3114,2712,1
"108",2676,2716,1
"109",2722,2718,1
"110",2728,2718,1
"111",2790,2718,1
"112",2815,2718,1
"113",2833,2718,1
"114",2897,2718,1
"115",2978,2718,1
"116",2910,2719,1
"117",2701,2720,1
"118",2965,2720,1
"119",2728,2722,1
"120",2790,2722,1
"121",2815,2722,1
"122",2897,2722,1
"123",3135,2722,1
"124",2684,2723,1
"125",2704,2723,1
"126",2705,2723,1
"127",2733,2723,1
"128",2744,2723,1
"129",2767,2723,1
"130",2768,2723,1
"131",2789,2723,1
"132",2810,2723,1
"133",2858,2723,1
"134",2879,2723,1
"135",2881,2723,1
"136",2888,2723,1
"137",2889,2723,1
"138",2890,2723,1
"139",2898,2723,1
"140",2909,2723,1
"141",2947,2723,1
"142",2977,2723,1
"143",2996,2723,1
"144",3010,2723,1
"145",3028,2723,1
"146",3032,2723,1
"147",3057,2723,1
"148",3070,2723,1
"149",3081,2723,1
"150",3104,2723,1
"151",3114,2723,1
"152",3115,2723,1
"153",3131,2723,1
"154",3149,2723,1
"155",2733,2724,1
"156",2744,2724,1
"157",2768,2724,1
"158",2772,2724,1
"159",2789,2724,1
"160",2814,2724,1
