"","sender","recver","value","nodelab2","nodelab1"
"1",2,354,1.48,"bright star investments pvt ltd","3m india ltd"
"2",2,2127,5.02,"shearson investment trading company pvt ltd","3m india ltd"
"3",3,2286,1.96,"st helens nominees india pvt ltd","a b c gas (international) ltd"
"4",4,99,13.44,"ang securities ltd","a b c india ltd"
"5",4,1753,29.63,"punjab state industrial development corporation ltd","a b c india ltd"
"6",4,2513,30.45,"trident infotech corporation ltd","a b c india ltd"
"7",4,2514,4.66,"trident udyog ltd","a b c india ltd"
"8",6,1049,3,"kajaria securities pvt ltd","a k capital services ltd"
"9",6,1457,2.9,"narendra impex ltd","a k capital services ltd"
"10",7,1447,3.88,"naman securities finance pvt ltd","a m i computers (i) ltd"
"11",7,2268,2.15,"sps capital management services pvt ltd","a m i computers (i) ltd"
"12",18,279,5.06,"bhairav tradelink ltd","aastha broadcasting network ltd"
"13",18,308,4.5,"bicharsil traders pvt ltd","aastha broadcasting network ltd"
"14",18,489,4.77,"deepmala dealers pvt ltd","aastha broadcasting network ltd"
"15",18,535,4.71,"divya dealers ltd","aastha broadcasting network ltd"
"16",18,771,4.27,"gurupath merchandise ltd","aastha broadcasting network ltd"
"17",18,998,3.25,"jeet vanijya ltd","aastha broadcasting network ltd"
"18",18,1480,4.52,"navltex marketing pvt ltd","aastha broadcasting network ltd"
"19",18,1991,4.67,"saltlake merchants pvt ltd","aastha broadcasting network ltd"
"20",18,2048,4.67,"savera traders pvt ltd","aastha broadcasting network ltd"
"21",19,420,27.78,"chintan navnit parikh","aaswa trading exports ltd"
"22",19,2130,27.78,"shefali chintan parikh","aaswa trading exports ltd"
"23",28,383,49.38,"carina finvest ltd","acrow india ltd"
"24",28,1847,2.75,"ravalgaon sugar farm ltd","acrow india ltd"
"25",29,2303,7.99,"steelcast ltd","acrysil ltd"
"26",31,735,4.95,"grasim industries ltd","aditya birla nuvo ltd"
"27",31,831,9.81,"hindalco industries ltd","aditya birla nuvo ltd"
"28",31,904,2.98,"indo gulf corpn. ltd [merged]","aditya birla nuvo ltd"
"29",31,2509,2.83,"trapti trading investment ltd","aditya birla nuvo ltd"
"30",31,2522,4.34,"turquoise investment finance ltd","aditya birla nuvo ltd"
"31",36,1473,35.83,"nav-jyoti investment dealers ltd","aekta ltd"
"32",36,1780,8.01,"r v investment dealers ltd","aekta ltd"
"33",40,2355,1.58,"sunidhi consultancy services ltd","aftek ltd"
"34",40,2515,3.4,"triumph international finance india ltd","aftek ltd"
"35",40,2627,1.63,"vidyut investments ltd","aftek ltd"
"36",44,2058,1.56,"sbi capital markets ltd","ajanta pharma ltd"
"37",45,80,1.28,"ameeta goyal","ajanta soya ltd"
"38",45,324,5.94,"bishan dass goyal","ajanta soya ltd"
"39",45,1648,1.05,"pawan sut merchants ltd","ajanta soya ltd"
"40",45,2006,1.16,"sangeeta goyal","ajanta soya ltd"
"41",45,2222,1.78,"sohan lal goyal","ajanta soya ltd"
"42",45,2282,6.51,"sri ram goyal","ajanta soya ltd"
"43",45,2388,2.69,"sushil kumar goel","ajanta soya ltd"
"44",45,2537,1.37,"uma goyal","ajanta soya ltd"
"45",50,791,3.86,"hari om trades agencies ltd","akar tools ltd"
"46",50,1418,3.04,"n k gupta","akar tools ltd"
"47",50,1770,10.86,"r l gupta","akar tools ltd"
"48",58,59,20.54,"alacrity foundations pvt ltd","alacrity electronics ltd"
"49",58,1641,3.98,"pat financial consultants pvt ltd","alacrity electronics ltd"
"50",60,59,20.37,"alacrity foundations pvt ltd","alacrity housing ltd"
"51",65,1518,14.77,"nirayu pvt ltd","alembic ltd"
"52",65,1744,4.99,"psu chemicals pvt ltd","alembic ltd"
"53",65,2164,10.44,"shreno investments finance ltd","alembic ltd"
"54",65,2165,1.66,"shreno ltd","alembic ltd"
"55",65,2185,10.91,"sierra investments ltd","alembic ltd"
"56",65,2709,4.99,"whitefield chemtech pvt ltd","alembic ltd"
"57",65,2710,1.09,"whitefield medicare pvt ltd","alembic ltd"
"58",65,2722,1.32,"y r amin","alembic ltd"
"59",66,386,4.86,"cavalier securities ltd","alka india ltd"
"60",68,1513,2.75,"nini yogesh kothari","alkyl amines chemicals ltd"
"61",68,1534,3.86,"niyoko investment pvt ltd","alkyl amines chemicals ltd"
"62",68,2351,1.5,"suneet m kothari investment pvt ltd","alkyl amines chemicals ltd"
"63",68,2453,1.43,"tata investment corpn. ltd","alkyl amines chemicals ltd"
"64",68,2734,33.44,"yogesh m kothari","alkyl amines chemicals ltd"
"65",68,2735,3.75,"yogesh m kothari investment pvt ltd","alkyl amines chemicals ltd"
"66",70,185,4.07,"ashtan holdings pvt ltd","allianz capital management services ltd"
"67",70,558,9.05,"ekant holdings pvt ltd","allianz capital management services ltd"
"68",70,595,6.81,"eshaan holdings pvt ltd","allianz capital management services ltd"
"69",70,658,2.59,"future vision money matters pvt ltd","allianz capital management services ltd"
"70",70,922,5.81,"innovative money matters pvt ltd","allianz capital management services ltd"
"71",70,1638,11.63,"passfield holdings pvt ltd","allianz capital management services ltd"
"72",70,1764,4.12,"quick money matters pvt ltd","allianz capital management services ltd"
"73",70,2223,19.98,"sohinder kaur bedi","allianz capital management services ltd"
"74",70,2443,1.36,"tas holdings pvt ltd","allianz capital management services ltd"
"75",71,70,39.63,"allianz capital management services ltd","allianz securities ltd"
"76",71,185,2.31,"ashtan holdings pvt ltd","allianz securities ltd"
"77",71,558,9.5,"ekant holdings pvt ltd","allianz securities ltd"
"78",71,595,1.79,"eshaan holdings pvt ltd","allianz securities ltd"
"79",71,922,9.49,"innovative money matters pvt ltd","allianz securities ltd"
"80",71,1638,1.71,"passfield holdings pvt ltd","allianz securities ltd"
"81",71,2223,3.33,"sohinder kaur bedi","allianz securities ltd"
