"","From","To","relation","value"
"1",9,40,"Feeling",3
"2",9,40,"Conflict",1
"3",9,220,"Feeling",3
"4",9,220,"Conflict",1
"5",10,169,"Required",1
"6",10,169,"Advice",1
"7",10,169,"Feeling",1
"8",10,169,"Conflict",2
"9",10,49,"Required",1
"10",10,49,"Advice",1
"11",10,49,"Feeling",5
"12",10,49,"Conflict",1
"13",10,229,"Required",1
"14",10,229,"Advice",1
"15",10,229,"Feeling",3
"16",10,229,"Conflict",1
"17",10,171,"Advice",1
"18",10,171,"Feeling",2
"19",10,171,"Conflict",2
"20",10,43,"Advice",1
"21",10,43,"Feeling",4
"22",10,43,"Conflict",2
"23",16,344,"Feeling",5
"24",16,344,"Conflict",1
"25",16,59,"Advice",1
"26",16,59,"Feeling",5
"27",16,59,"Conflict",1
"28",16,75,"Required",1
"29",16,75,"Advice",1
"30",16,75,"Feeling",5
"31",16,75,"Conflict",3
"32",16,306,"Feeling",5
"33",16,306,"Conflict",1
"34",16,37,"Feeling",5
"35",16,37,"Conflict",1
"36",16,163,"Feeling",4
"37",16,163,"Conflict",1
"38",16,30,"Feeling",5
"39",16,30,"Conflict",1
"40",20,50,"Required",1
"41",20,50,"Advice",1
"42",20,50,"Feeling",5
"43",20,50,"Conflict",2
"44",20,147,"Required",1
"45",20,147,"Advice",1
"46",20,147,"Feeling",4
"47",20,147,"Conflict",2
"48",20,37,"Required",1
"49",20,37,"Feeling",4
"50",20,37,"Conflict",2
"51",20,267,"Required",1
"52",20,267,"Advice",1
"53",20,267,"Feeling",5
"54",20,267,"Conflict",2
"55",20,43,"Required",1
"56",20,43,"Advice",1
"57",20,43,"Feeling",3
"58",20,43,"Conflict",1
"59",20,90,"Required",1
"60",20,90,"Feeling",4
"61",20,90,"Conflict",1
"62",20,275,"Required",1
"63",20,275,"Feeling",4
"64",20,275,"Conflict",1
"65",20,163,"Required",1
"66",20,163,"Feeling",2
"67",20,163,"Conflict",3
"68",20,80,"Required",1
"69",20,80,"Advice",1
"70",20,80,"Feeling",5
"71",20,80,"Conflict",1
"72",20,298,"Required",1
"73",20,298,"Feeling",5
"74",20,298,"Conflict",1
"75",20,169,"Required",1
"76",20,169,"Feeling",4
"77",20,169,"Conflict",1
"78",20,206,"Required",1
"79",20,206,"Feeling",4
"80",20,206,"Conflict",1
"81",20,306,"Required",1
"82",20,306,"Feeling",5
"83",20,306,"Conflict",2
"84",20,312,"Required",1
"85",20,312,"Feeling",3
"86",20,312,"Conflict",1
"87",20,182,"Advice",1
"88",20,182,"Feeling",5
"89",20,182,"Conflict",1
"90",21,256,"Required",1
"91",21,256,"Feeling",5
"92",21,256,"Conflict",2
"93",21,114,"Required",1
"94",21,114,"Feeling",4
"95",21,114,"Conflict",2
"96",21,81,"Required",1
"97",21,81,"Feeling",5
"98",21,81,"Conflict",2
"99",21,23,"Required",1
"100",21,23,"Feeling",5
"101",21,23,"Conflict",2
"102",21,63,"Required",1
"103",21,63,"Feeling",5
"104",21,63,"Conflict",2
"105",21,184,"Required",1
"106",21,184,"Feeling",5
"107",21,184,"Conflict",2
"108",21,265,"Required",1
"109",21,265,"Feeling",5
"110",21,265,"Conflict",2
"111",21,273,"Required",1
"112",21,273,"Feeling",5
"113",21,273,"Conflict",2
"114",21,84,"Required",1
"115",21,84,"Advice",1
"116",21,84,"Feeling",5
"117",21,84,"Conflict",4
"118",21,87,"Required",1
"119",21,87,"Feeling",5
"120",21,87,"Conflict",2
"121",21,43,"Required",1
"122",21,43,"Feeling",3
"123",21,43,"Conflict",2
"124",21,220,"Required",1
"125",21,220,"Advice",1
"126",21,220,"Feeling",5
"127",21,220,"Conflict",2
"128",21,40,"Required",1
"129",21,40,"Advice",1
"130",21,40,"Feeling",5
"131",21,40,"Conflict",4
"132",24,332,"Required",1
"133",24,332,"Advice",1
"134",24,332,"Feeling",3
"135",24,332,"Conflict",1
"136",24,84,"Required",1
"137",24,84,"Advice",1
"138",24,84,"Feeling",5
"139",24,84,"Conflict",1
"140",24,180,"Feeling",5
"141",24,180,"Conflict",1
"142",24,60,"Feeling",5
"143",24,60,"Conflict",1
"144",24,129,"Required",1
"145",24,129,"Advice",1
"146",24,129,"Feeling",5
"147",24,129,"Conflict",1
"148",24,276,"Feeling",5
"149",24,276,"Conflict",1
"150",24,257,"Feeling",5
"151",24,257,"Conflict",1
"152",24,209,"Advice",1
"153",24,209,"Feeling",4
"154",24,209,"Conflict",1
"155",24,52,"Required",1
"156",24,52,"Advice",1
"157",24,52,"Feeling",4
"158",24,52,"Conflict",1
"159",24,50,"Required",1
"160",24,50,"Advice",1
"161",24,50,"Feeling",5
"162",24,50,"Conflict",1
"163",24,302,"Required",1
"164",24,302,"Advice",1
"165",24,302,"Feeling",5
"166",24,302,"Conflict",1
"167",24,130,"Required",1
"168",24,130,"Advice",1
"169",24,130,"Feeling",4
"170",24,130,"Conflict",1
"171",24,100,"Required",1
"172",24,100,"Advice",1
"173",24,100,"Feeling",4
"174",24,100,"Conflict",1
"175",24,200,"Required",1
"176",24,200,"Advice",1
"177",24,200,"Feeling",2
