"","From","To","relation","value"
"1",9,40,"Conflict",1
"2",9,220,"Conflict",1
"3",10,169,"Conflict",2
"4",10,49,"Conflict",1
"5",10,229,"Conflict",1
"6",10,171,"Conflict",2
"7",10,43,"Conflict",2
"8",16,344,"Conflict",1
"9",16,59,"Conflict",1
"10",16,75,"Conflict",3
"11",16,306,"Conflict",1
"12",16,37,"Conflict",1
"13",16,163,"Conflict",1
"14",16,30,"Conflict",1
"15",20,50,"Conflict",2
"16",20,147,"Conflict",2
"17",20,37,"Conflict",2
"18",20,267,"Conflict",2
"19",20,43,"Conflict",1
"20",20,90,"Conflict",1
"21",20,275,"Conflict",1
"22",20,163,"Conflict",3
"23",20,80,"Conflict",1
"24",20,298,"Conflict",1
"25",20,169,"Conflict",1
"26",20,206,"Conflict",1
"27",20,306,"Conflict",2
"28",20,312,"Conflict",1
"29",20,182,"Conflict",1
"30",21,256,"Conflict",2
"31",21,114,"Conflict",2
"32",21,81,"Conflict",2
"33",21,23,"Conflict",2
"34",21,63,"Conflict",2
"35",21,184,"Conflict",2
"36",21,265,"Conflict",2
"37",21,273,"Conflict",2
"38",21,84,"Conflict",4
"39",21,87,"Conflict",2
"40",21,43,"Conflict",2
"41",21,220,"Conflict",2
"42",21,40,"Conflict",4
"43",24,332,"Conflict",1
"44",24,84,"Conflict",1
"45",24,180,"Conflict",1
"46",24,60,"Conflict",1
"47",24,129,"Conflict",1
"48",24,276,"Conflict",1
"49",24,257,"Conflict",1
"50",24,209,"Conflict",1
"51",24,52,"Conflict",1
"52",24,50,"Conflict",1
"53",24,302,"Conflict",1
"54",24,130,"Conflict",1
"55",24,100,"Conflict",1
"56",24,200,"Conflict",2
"57",24,21,"Conflict",1
"58",30,90,"Conflict",1
"59",30,171,"Conflict",1
"60",30,20,"Conflict",2
"61",30,77,"Conflict",1
"62",30,33,"Conflict",1
"63",30,238,"Conflict",1
"64",30,293,"Conflict",1
"65",30,306,"Conflict",1
"66",30,267,"Conflict",1
"67",30,37,"Conflict",1
"68",37,90,"Conflict",1
"69",37,16,"Conflict",1
"70",37,148,"Conflict",1
"71",37,163,"Conflict",4
"72",37,300,"Conflict",1
"73",37,20,"Conflict",1
"74",37,30,"Conflict",1
"75",37,33,"Conflict",1
"76",37,238,"Conflict",1
"77",37,206,"Conflict",1
"78",37,293,"Conflict",1
"79",37,306,"Conflict",1
"80",37,75,"Conflict",1
"81",37,59,"Conflict",1
"82",37,147,"Conflict",1
"83",37,267,"Conflict",1
"84",37,217,"Conflict",1
"85",37,312,"Conflict",1
"86",40,349,"Conflict",1
"87",40,220,"Conflict",2
"88",40,298,"Conflict",1
"89",40,56,"Conflict",1
"90",40,145,"Conflict",1
"91",40,84,"Conflict",2
"92",40,182,"Conflict",2
"93",40,211,"Conflict",1
"94",40,257,"Conflict",1
"95",40,276,"Conflict",1
"96",40,339,"Conflict",1
"97",41,78,"Conflict",1
"98",41,319,"Conflict",1
"99",41,40,"Conflict",2
"100",41,173,"Conflict",1
"101",41,171,"Conflict",1
"102",41,276,"Conflict",2
"103",41,116,"Conflict",1
"104",41,231,"Conflict",1
"105",41,182,"Conflict",2
"106",41,339,"Conflict",1
"107",41,194,"Conflict",1
"108",41,341,"Conflict",2
"109",41,136,"Conflict",1
"110",41,192,"Conflict",1
"111",41,145,"Conflict",1
"112",50,194,"Conflict",1
"113",50,319,"Conflict",1
"114",50,134,"Conflict",1
"115",50,211,"Conflict",1
"116",50,52,"Conflict",1
"117",50,100,"Conflict",1
"118",50,40,"Conflict",1
"119",50,129,"Conflict",1
"120",52,211,"Conflict",1
"121",52,332,"Conflict",1
"122",52,130,"Conflict",1
"123",52,100,"Conflict",1
"124",52,24,"Conflict",1
"125",52,335,"Conflict",2
"126",52,137,"Conflict",2
"127",52,200,"Conflict",2
"128",52,209,"Conflict",1
"129",52,84,"Conflict",1
"130",52,40,"Conflict",2
"131",52,111,"Conflict",1
"132",52,50,"Conflict",1
"133",52,339,"Conflict",1
"134",52,220,"Conflict",2
"135",52,194,"Conflict",1
"136",52,145,"Conflict",1
"137",52,21,"Conflict",1
"138",52,60,"Conflict",1
"139",52,303,"Conflict",1
"140",52,129,"Conflict",1
"141",52,257,"Conflict",1
"142",52,180,"Conflict",1
"143",52,134,"Conflict",1
"144",52,350,"Conflict",1
"145",52,298,"Conflict",1
"146",52,56,"Conflict",1
"147",52,171,"Conflict",1
"148",56,298,"Conflict",2
"149",56,183,"Conflict",3
"150",56,40,"Conflict",2
"151",56,171,"Conflict",1
"152",56,192,"Conflict",1
"153",56,43,"Conflict",4
"154",56,276,"Conflict",2
"155",56,220,"Conflict",2
"156",56,80,"Conflict",1
"157",56,267,"Conflict",1
"158",56,211,"Conflict",1
"159",56,52,"Conflict",1
"160",56,349,"Conflict",1
"161",56,182,"Conflict",2
"162",56,87,"Conflict",1
"163",59,267,"Conflict",1
"164",59,16,"Conflict",1
"165",59,344,"Conflict",1
"166",59,306,"Conflict",1
"167",59,20,"Conflict",1
"168",59,147,"Conflict",1
"169",59,275,"Conflict",1
"170",59,163,"Conflict",1
"171",59,90,"Conflict",1
"172",59,300,"Conflict",1
"173",59,238,"Conflict",1
"174",59,293,"Conflict",1
"175",59,206,"Conflict",1
"176",59,30,"Conflict",1
"177",59,267,"Conflict",1
"178",59,312,"Conflict",1
"179",59,37,"Conflict",1
"180",60,303,"Conflict",1
"181",60,209,"Conflict",2
"182",60,50,"Conflict",3
"183",60,211,"Conflict",1
"184",60,302,"Conflict",1
"185",70,245,"Conflict",1
"186",70,197,"Conflict",1
"187",70,216,"Conflict",4
"188",70,229,"Conflict",2
"189",70,169,"Conflict",2
"190",70,71,"Conflict",4
"191",75,306,"Conflict",1
"192",75,37,"Conflict",1
"193",75,267,"Conflict",2
"194",75,20,"Conflict",4
"195",75,16,"Conflict",2
"196",75,344,"Conflict",2
"197",75,59,"Conflict",2
"198",75,80,"Conflict",2
"199",75,148,"Conflict",1
"200",75,33,"Conflict",2
"201",75,169,"Conflict",2
"202",75,148,"Conflict",1
"203",77,90,"Conflict",1
"204",77,300,"Conflict",1
"205",77,293,"Conflict",1
"206",77,206,"Conflict",1
"207",77,238,"Conflict",1
"208",77,312,"Conflict",1
"209",77,341,"Conflict",1
