"","From","To","relation","value"
"1",9,40,"Feeling",3
"2",9,220,"Feeling",3
"3",10,169,"Feeling",1
"4",10,49,"Feeling",5
"5",10,229,"Feeling",3
"6",10,171,"Feeling",2
"7",10,43,"Feeling",4
"8",16,344,"Feeling",5
"9",16,59,"Feeling",5
"10",16,75,"Feeling",5
"11",16,306,"Feeling",5
"12",16,37,"Feeling",5
"13",16,163,"Feeling",4
"14",16,30,"Feeling",5
"15",20,50,"Feeling",5
"16",20,147,"Feeling",4
"17",20,37,"Feeling",4
"18",20,267,"Feeling",5
"19",20,43,"Feeling",3
"20",20,90,"Feeling",4
"21",20,275,"Feeling",4
"22",20,163,"Feeling",2
"23",20,80,"Feeling",5
"24",20,298,"Feeling",5
"25",20,169,"Feeling",4
"26",20,206,"Feeling",4
"27",20,306,"Feeling",5
"28",20,312,"Feeling",3
"29",20,182,"Feeling",5
"30",21,256,"Feeling",5
"31",21,114,"Feeling",4
"32",21,81,"Feeling",5
"33",21,23,"Feeling",5
"34",21,63,"Feeling",5
"35",21,184,"Feeling",5
"36",21,265,"Feeling",5
"37",21,273,"Feeling",5
"38",21,84,"Feeling",5
"39",21,87,"Feeling",5
"40",21,43,"Feeling",3
"41",21,220,"Feeling",5
"42",21,40,"Feeling",5
"43",24,332,"Feeling",3
"44",24,84,"Feeling",5
"45",24,180,"Feeling",5
"46",24,60,"Feeling",5
"47",24,129,"Feeling",5
"48",24,276,"Feeling",5
"49",24,257,"Feeling",5
"50",24,209,"Feeling",4
"51",24,52,"Feeling",4
"52",24,50,"Feeling",5
"53",24,302,"Feeling",5
"54",24,130,"Feeling",4
"55",24,100,"Feeling",4
"56",24,200,"Feeling",2
"57",24,21,"Feeling",4
"58",30,90,"Feeling",5
"59",30,171,"Feeling",5
"60",30,20,"Feeling",5
"61",30,77,"Feeling",5
"62",30,33,"Feeling",5
"63",30,238,"Feeling",5
"64",30,293,"Feeling",5
"65",30,306,"Feeling",5
"66",30,267,"Feeling",5
"67",30,37,"Feeling",5
"68",37,90,"Feeling",5
"69",37,16,"Feeling",5
"70",37,148,"Feeling",5
"71",37,163,"Feeling",1
"72",37,300,"Feeling",5
"73",37,20,"Feeling",5
"74",37,30,"Feeling",5
"75",37,33,"Feeling",5
"76",37,238,"Feeling",5
"77",37,206,"Feeling",5
"78",37,293,"Feeling",5
"79",37,306,"Feeling",5
"80",37,75,"Feeling",5
"81",37,59,"Feeling",3
"82",37,147,"Feeling",5
"83",37,267,"Feeling",5
"84",37,217,"Feeling",5
"85",37,312,"Feeling",5
"86",40,349,"Feeling",5
"87",40,220,"Feeling",5
"88",40,298,"Feeling",5
"89",40,56,"Feeling",5
"90",40,145,"Feeling",5
"91",40,84,"Feeling",5
"92",40,182,"Feeling",5
"93",40,211,"Feeling",5
"94",40,257,"Feeling",5
"95",40,276,"Feeling",5
"96",40,339,"Feeling",5
"97",41,78,"Feeling",4
"98",41,319,"Feeling",5
"99",41,40,"Feeling",4
"100",41,173,"Feeling",5
"101",41,171,"Feeling",4
"102",41,276,"Feeling",5
"103",41,116,"Feeling",5
"104",41,231,"Feeling",4
"105",41,182,"Feeling",5
"106",41,339,"Feeling",5
"107",41,194,"Feeling",4
"108",41,341,"Feeling",4
"109",41,136,"Feeling",5
"110",41,192,"Feeling",4
"111",41,145,"Feeling",4
"112",50,194,"Feeling",4
"113",50,319,"Feeling",5
"114",50,134,"Feeling",5
"115",50,211,"Feeling",5
"116",50,52,"Feeling",5
"117",50,100,"Feeling",5
"118",50,40,"Feeling",4
"119",50,129,"Feeling",5
"120",52,211,"Feeling",5
"121",52,332,"Feeling",4
"122",52,130,"Feeling",4
